batch_id,start_id,end_id,n_examples,primary_variable_id,primary_variable,construction_index,construction_family,repetition,language,language_name,domains,short_count,medium_count,long_count
1,1,50,50,36,genericity_and_kind_level_reference,5,generic_conditional_or_generalization,7,de,German,food_household;sports_recreation;workplace,15,25,10
2,51,100,50,9,analytic_vs_synthetic_encoding,3,periphrastic_modality,11,en,English,social_interaction;health;news_public_affairs,15,25,10
3,101,150,50,38,speech_act_force_and_request_directness,4,performative_request,10,ja,Japanese,food_household;sports_recreation;workplace,15,25,10
4,151,200,50,3,nominal_modifier_order,1,adjective_head_order,5,tr,Turkish,social_interaction;health;news_public_affairs,15,25,10
5,201,250,50,12,optionality_vs_obligatoriness_of_marking,2,article_obligatoriness_context,4,ja,Japanese,arts_culture;social_interaction;health,15,25,10
6,251,300,50,22,tense_prominence,5,tense_with_independent_time_adverb,5,tr,Turkish,education;food_household;sports_recreation,15,25,10
7,301,350,50,20,pronoun_richness_and_reduction,5,pronoun_reduction_across_connected_clauses,4,tr,Turkish,arts_culture;social_interaction;health,15,25,10
8,351,400,50,29,quantifier_scope_and_distributivity,1,universal_existential_scope,8,es,Spanish,education;food_household;sports_recreation,15,25,10
9,401,450,50,4,case_marking,1,accusative_object_marking,1,tr,Turkish,social_interaction;health;news_public_affairs,15,25,10
10,451,500,50,12,optionality_vs_obligatoriness_of_marking,2,article_obligatoriness_context,8,tr,Turkish,science_technology;nature_environment;daily_life,15,25,10
11,501,550,50,34,topic_comment_structure,3,marked_topicalization,6,ja,Japanese,nature_environment;daily_life;education,15,25,10
12,551,600,50,8,causativity_and_valency_change,5,permissive_causation,9,hi,Hindi,education;food_household;sports_recreation,15,25,10
13,601,650,50,8,causativity_and_valency_change,1,morphological_causative,3,ko,Korean,family_relationships;science_technology;nature_environment,15,25,10
14,651,700,50,40,orthographic_and_tokenization_interface,1,hyphenation_or_compound_orthography,13,fr,French,social_interaction;health;news_public_affairs,15,25,10
15,701,750,50,9,analytic_vs_synthetic_encoding,5,agglutinative_multi_feature_word,8,de,German,health;news_public_affairs;family_relationships,15,25,10
16,751,800,50,31,subordination_and_embedding,3,adverbial_subordinate_clause,15,ja,Japanese,travel_transport;arts_culture;social_interaction,15,25,10
17,801,850,50,4,case_marking,3,genitive_possession,2,fi,Finnish,daily_life;education;food_household,15,25,10
18,851,900,50,2,basic_constituent_order,3,verb_final_order,6,en,English,health;news_public_affairs;family_relationships,15,25,10
19,901,950,50,20,pronoun_richness_and_reduction,3,clitic_pronoun,9,tr,Turkish,education;food_household;sports_recreation,15,25,10
20,951,1000,50,16,gender_noun_class,3,pronoun_gender_agreement,3,ru,Russian,arts_culture;social_interaction;health,15,25,10
21,1001,1050,50,32,quotation_and_reported_speech_structure,2,indirect_report,11,en,English,education;food_household;sports_recreation,15,25,10
22,1051,1100,50,16,gender_noun_class,5,gender_assignment_across_nouns,2,es,Spanish,sports_recreation;workplace;travel_transport,15,25,10
23,1101,1150,50,24,modality_and_mood,1,imperative_mood,9,de,German,daily_life;education;food_household,15,25,10
24,1151,1200,50,39,deixis_and_perspective_anchoring,1,proximal_distal_demonstrative,13,es,Spanish,food_household;sports_recreation;workplace,15,25,10
25,1201,1250,50,35,focus_and_given_new_marking,1,cleft_focus,3,es,Spanish,food_household;sports_recreation;workplace,15,25,10
26,1251,1300,50,13,redundancy_cumulative_exponence,1,agreement_redundancy,7,ru,Russian,education;food_household;sports_recreation,15,25,10
27,1301,1350,50,27,mirativity_stance_and_affect_marking,5,unexpected_discovery_context,1,tr,Turkish,health;news_public_affairs;family_relationships,15,25,10
28,1351,1400,50,12,optionality_vs_obligatoriness_of_marking,5,optional_particle_or_case_context,12,es,Spanish,food_household;sports_recreation;workplace,15,25,10
29,1401,1450,50,6,transitivity_valency,5,valency_reduction_or_argument_omission,3,tr,Turkish,sports_recreation;workplace;travel_transport,15,25,10
30,1451,1500,50,28,negation_and_polarity_structure,4,negative_polarity_item_context,2,es,Spanish,social_interaction;health;news_public_affairs,15,25,10
31,1501,1550,50,38,speech_act_force_and_request_directness,3,declarative_hint_request,12,de,German,social_interaction;health;news_public_affairs,15,25,10
32,1551,1600,50,5,morphosyntactic_alignment,5,alignment_under_voice_change,3,ur,Urdu,science_technology;nature_environment;daily_life,15,25,10
33,1601,1650,50,23,aspect_and_event_structure,3,habitual_aspect,8,en,English,travel_transport;arts_culture;social_interaction,15,25,10
34,1651,1700,50,38,speech_act_force_and_request_directness,2,interrogative_request,4,fr,French,arts_culture;social_interaction;health,15,25,10
35,1701,1750,50,15,number_marking,4,collective_or_group_reference,14,tr,Turkish,news_public_affairs;family_relationships;science_technology,15,25,10
36,1751,1800,50,14,definiteness_and_specificity,1,definite_indefinite_article,7,es,Spanish,arts_culture;social_interaction;health,15,25,10
37,1801,1850,50,8,causativity_and_valency_change,2,periphrastic_causative,15,en,English,sports_recreation;workplace;travel_transport,15,25,10
38,1851,1900,50,11,agreement_indexing_density,4,multiple_agreement_targets,7,es,Spanish,sports_recreation;workplace;travel_transport,15,25,10
39,1901,1950,50,9,analytic_vs_synthetic_encoding,2,synthetic_inflection,6,en,English,daily_life;education;food_household,15,25,10
40,1951,2000,50,37,social_deixis_honorifics_status_encoding,3,honorific_verb_or_morphology,4,de,German,travel_transport;arts_culture;social_interaction,15,25,10
41,2001,2050,50,40,orthographic_and_tokenization_interface,3,script_specific_word_segmentation,12,de,German,workplace;travel_transport;arts_culture,15,25,10
42,2051,2100,50,40,orthographic_and_tokenization_interface,5,alphanumeric_hashtag_or_filename_like_token,3,fr,French,workplace;travel_transport;arts_culture,15,25,10
43,2101,2150,50,22,tense_prominence,4,future_marking,14,de,German,travel_transport;arts_culture;social_interaction,15,25,10
44,2151,2200,50,40,orthographic_and_tokenization_interface,3,script_specific_word_segmentation,7,de,German,education;food_household;sports_recreation,15,25,10
45,2201,2250,50,28,negation_and_polarity_structure,4,negative_polarity_item_context,14,ru,Russian,news_public_affairs;family_relationships;science_technology,15,25,10
46,2251,2300,50,18,person_marking_and_person_hierarchy,3,local_vs_nonlocal_participants,5,fr,French,nature_environment;daily_life;education,15,25,10
47,2301,2350,50,26,evidentiality,2,grammatical_inferential,2,bg,Bulgarian,food_household;sports_recreation;workplace,15,25,10
48,2351,2400,50,17,animacy_and_humanness,1,animate_inanimate_object_contrast,10,tr,Turkish,food_household;sports_recreation;workplace,15,25,10
49,2401,2450,50,38,speech_act_force_and_request_directness,5,mitigated_or_polite_request,7,de,German,nature_environment;daily_life;education,15,25,10
50,2451,2500,50,21,possession_and_alienability,4,genitive_or_possessive_marker,11,tr,Turkish,arts_culture;social_interaction;health,15,25,10
51,2501,2550,50,3,nominal_modifier_order,2,possessor_head_order,9,ar,Arabic,sports_recreation;workplace;travel_transport,15,25,10
52,2551,2600,50,33,discourse_relation_marking,1,causal_relation,11,en,English,food_household;sports_recreation;workplace,15,25,10
53,2601,2650,50,1,subject_expression_pro_drop,2,discourse_recoverable_subject_omission,14,pt,Portuguese,news_public_affairs;family_relationships;science_technology,15,25,10
54,2651,2700,50,31,subordination_and_embedding,4,nested_embedding,5,ja,Japanese,sports_recreation;workplace;travel_transport,15,25,10
55,2701,2750,50,17,animacy_and_humanness,4,animacy_sensitive_case_or_order,6,es,Spanish,news_public_affairs;family_relationships;science_technology,15,25,10
56,2751,2800,50,34,topic_comment_structure,5,contrastive_topic,15,fr,French,food_household;sports_recreation;workplace,15,25,10
57,2801,2850,50,26,evidentiality,3,lexical_reportative,9,de,German,travel_transport;arts_culture;social_interaction,15,25,10
58,2851,2900,50,39,deixis_and_perspective_anchoring,4,temporal_deixis,14,tr,Turkish,nature_environment;daily_life;education,15,25,10
59,2901,2950,50,33,discourse_relation_marking,5,consequence_or_result_relation,11,en,English,travel_transport;arts_culture;social_interaction,15,25,10
60,2951,3000,50,9,analytic_vs_synthetic_encoding,2,synthetic_inflection,9,es,Spanish,social_interaction;health;news_public_affairs,15,25,10
61,3001,3050,50,5,morphosyntactic_alignment,2,intransitive_subject_alignment,5,ru,Russian,health;news_public_affairs;family_relationships,15,25,10
62,3051,3100,50,37,social_deixis_honorifics_status_encoding,3,honorific_verb_or_morphology,10,hi,Hindi,arts_culture;social_interaction;health,15,25,10
63,3101,3150,50,14,definiteness_and_specificity,3,demonstrative_definiteness,2,es,Spanish,science_technology;nature_environment;daily_life,15,25,10
