text_probe_family,variable_id,variable,model_kind,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
text_sentence_basis_changed,1,Subject expression / pro-drop,word_tfidf,0.9875,0.9875,0.9876543209876543,0.9999,800,0.5,0.58,0.5800000000000001,0.6818181818181818,0.5609999999999999,100,0.5,0.5,0.5,0.2647058823529412,0.533,100,0.5,,,,,,
text_delta_direction_basis_to_changed,1,Subject expression / pro-drop,word_tfidf,0.7425,0.7424999999999999,0.7952286282306164,0.8673875,800,0.5,0.5,0.5,0.6666666666666666,0.5000000000000001,100,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.38051593710112824,0.6111196633825945,1000.0,0.39202724358974367,0.6145898984593838,1000.0
text_sentence_basis_changed,1,Subject expression / pro-drop,char_tfidf,0.99375,0.99375,0.9937888198757764,0.99999375,800,0.5,0.58,0.58,0.5,0.6872,100,0.5,0.51,0.51,0.30985915492957744,0.5556,100,0.5,,,,,,
text_delta_direction_basis_to_changed,1,Subject expression / pro-drop,char_tfidf,0.7375,0.7375,0.7244094488188977,0.8622125,800,0.5,0.5,0.5,0.34210526315789475,0.5,100,0.5,0.5,0.5,0.358974358974359,0.5,100,0.5,,,,,,
text_sentence_basis_changed,1,Subject expression / pro-drop,length_punct,0.7875,0.7875000000000001,0.8140043763676149,0.847834375,800,0.5,0.5,0.5,0.0,0.7642,100,0.5,0.5,0.5,0.0,0.8332,100,0.5,0.6742934463166145,0.850865038909984,1000.0,0.747703099989996,0.9097057801662586,1000.0
text_delta_direction_basis_to_changed,1,Subject expression / pro-drop,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,2,basic_constituent_order,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.5,0.5,0.6666666666666666,0.498,100,0.5,,,,,,
text_delta_direction_basis_to_changed,2,basic_constituent_order,word_tfidf,0.9,0.9,0.8888888888888888,0.9800000000000001,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5002000000000001,100,0.5,0.5,0.5,1000.0,0.4242932224025975,0.5747534091479325,1000.0
text_sentence_basis_changed,2,basic_constituent_order,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.78,0.78,0.7555555555555555,0.8098,100,0.5,0.53,0.53,0.5982905982905983,0.6178,100,0.5,0.7167529408902351,0.8931814525075634,1000.0,0.5063376492423894,0.7358276022541819,1000.0
text_delta_direction_basis_to_changed,2,basic_constituent_order,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
