candidate_key,probe_family,variable_id,variable,representation,layer_idx,layer_name,hidden_dim,regularization_c,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,suspiciously_high_test_auroc,possible_overfit,weak_signal,selected_by,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
delta_direction_basis_to_changed|var=1|repr=final_token|layer=0,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=2|repr=mean_pooled|layer=12,delta_direction_basis_to_changed,2,basic_constituent_order,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9740000000000001,100,0.5,0.5,0.5,0.5,0.6220000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9458572436529081,0.9927971908763505,1000.0,0.5077146798029557,0.739103095783768,1000.0
delta_direction_basis_to_changed|var=3|repr=mean_pooled|layer=10,delta_direction_basis_to_changed,3,nominal_modifier_order,mean_pooled,10,layer_10,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.54,0.54,0.54,0.5324,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.4229618650344753,0.6498502526010405,1000.0
delta_direction_basis_to_changed|var=4|repr=final_token|layer=8,delta_direction_basis_to_changed,4,case_marking,final_token,8,layer_8,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.966,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9272509090909091,0.9951830431088534,1000.0
delta_direction_basis_to_changed|var=5|repr=final_token|layer=3,delta_direction_basis_to_changed,5,morphosyntactic_alignment,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.92,0.92,0.92,0.9808,100,0.5,0.86,0.86,0.86,0.9684,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9577254403703901,0.9968867170692729,1000.0,0.9397680308574653,0.9894949494949495,1000.0
delta_direction_basis_to_changed|var=6|repr=final_token|layer=0,delta_direction_basis_to_changed,6,transitivity_valency,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=7|repr=final_token|layer=0,delta_direction_basis_to_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.92,0.92,0.92,0.98,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9563800930208148,0.9955844561831156,1000.0
delta_direction_basis_to_changed|var=8|repr=final_token|layer=0,delta_direction_basis_to_changed,8,causativity_and_valency_change,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.8,0.8,0.8,0.9600000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9211928340936909,0.9871798719487794,1000.0
delta_direction_basis_to_changed|var=9|repr=final_token|layer=0,delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=10|repr=final_token|layer=0,delta_direction_basis_to_changed,10,morphological_segmentation_type,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.9772000000000001,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9512,0.9947979711884755,1000.0
delta_direction_basis_to_changed|var=11|repr=final_token|layer=0,delta_direction_basis_to_changed,11,agreement_indexing_density,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.5,0.5,0.5,0.7316,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6214608524528042,0.8251718415683932,1000.0
delta_direction_basis_to_changed|var=12|repr=final_token|layer=0,delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.54,0.54,0.54,0.6644000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.5599642995169083,0.770794861501405,1000.0
delta_direction_basis_to_changed|var=13|repr=final_token|layer=3,delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.74,0.74,0.74,0.878,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.8111724038461537,0.9363750089407744,1000.0
delta_direction_basis_to_changed|var=14|repr=final_token|layer=18,delta_direction_basis_to_changed,14,definiteness_and_specificity,final_token,18,layer_18,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.98,0.98,0.98,0.986,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9626523829943642,1.0,1000.0
delta_direction_basis_to_changed|var=15|repr=final_token|layer=19,delta_direction_basis_to_changed,15,number_marking,final_token,19,layer_19,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.76,0.76,0.76,0.7864,100,0.5,0.4,0.4,0.4,0.4376,100,0.5,False,True,True,validation_auroc_then_validation_balanced_accuracy,0.6944833203341635,0.8695769071542168,1000.0,0.3285060330950562,0.5532886592136854,1000.0
delta_direction_basis_to_changed|var=16|repr=final_token|layer=0,delta_direction_basis_to_changed,16,gender_noun_class,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.94,0.94,0.94,0.9884000000000001,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.970135218266411,0.9987956643918104,1000.0
delta_direction_basis_to_changed|var=17|repr=final_token|layer=20,delta_direction_basis_to_changed,17,animacy_and_humanness,final_token,20,layer_20,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.8,0.8,0.8,0.9248,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.8701266233766234,0.9664055766537384,1000.0
delta_direction_basis_to_changed|var=18|repr=mean_pooled|layer=11,delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,mean_pooled,11,layer_11,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.82,0.82,0.82,0.8996,100,0.5,0.72,0.72,0.72,0.8208,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.8189102564102565,0.9585496214232627,1000.0,0.7435768406262546,0.8918338543819759,1000.0
delta_direction_basis_to_changed|var=19|repr=mean_pooled|layer=9,delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,mean_pooled,9,layer_9,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.94,0.94,0.94,0.9908,100,0.5,0.76,0.76,0.76,0.9096000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9767809483793516,0.9991792151813704,1000.0,0.8507825252525254,0.9545088566827697,1000.0
delta_direction_basis_to_changed|var=20|repr=final_token|layer=1,delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,final_token,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=21|repr=final_token|layer=5,delta_direction_basis_to_changed,21,possession_and_alienability,final_token,5,layer_5,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9604,100,0.5,0.76,0.76,0.76,0.8735999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9251097408026757,0.9887600972475269,1000.0,0.799891968787515,0.9310251890572294,1000.0
delta_direction_basis_to_changed|var=22|repr=final_token|layer=1,delta_direction_basis_to_changed,22,tense_prominence,final_token,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.68,0.68,0.68,0.8248,100,0.5,0.86,0.86,0.86,0.9252,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.7380602240896358,0.8937428789697697,1000.0,0.8668656863969364,0.9700025252525252,1000.0
delta_direction_basis_to_changed|var=23|repr=final_token|layer=18,delta_direction_basis_to_changed,23,aspect_and_event_structure,final_token,18,layer_18,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.88,0.88,0.88,0.9616,100,0.5,0.46,0.46,0.46,0.38359999999999994,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.9277492072108943,0.9843963166662013,1000.0,0.2732459168040925,0.5054091522972826,1000.0
delta_direction_basis_to_changed|var=24|repr=final_token|layer=21,delta_direction_basis_to_changed,24,modality_and_mood,final_token,21,layer_21,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9683999999999999,100,0.5,0.62,0.62,0.62,0.7444,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9361453091875048,0.9904988093556811,1000.0,0.6470352564102564,0.83575375,1000.0
delta_direction_basis_to_changed|var=25|repr=mean_pooled|layer=0,delta_direction_basis_to_changed,25,epistemic_modality,mean_pooled,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.82,0.82,0.82,0.7515999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6450515726290517,0.8444366502463054,1000.0
delta_direction_basis_to_changed|var=26|repr=final_token|layer=6,delta_direction_basis_to_changed,26,evidentiality,final_token,6,layer_6,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.72,0.72,0.72,0.8855999999999999,100,0.5,0.58,0.58,0.58,0.7020000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.8165064885762658,0.9423132183908047,1000.0,0.5985491071428571,0.8119111936497643,1000.0
delta_direction_basis_to_changed|var=27|repr=final_token|layer=0,delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=28|repr=mean_pooled|layer=2,delta_direction_basis_to_changed,28,negation_and_polarity_structure,mean_pooled,2,layer_2,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.66,0.66,0.66,0.7867999999999999,100,0.5,0.82,0.82,0.82,0.9604,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.6942864583333332,0.8684932715004106,1000.0,0.9229063490746173,0.9863999999999999,1000.0
delta_direction_basis_to_changed|var=29|repr=final_token|layer=0,delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.84,0.84,0.84,0.9743999999999999,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9470092332396629,0.992727931488801,1000.0
delta_direction_basis_to_changed|var=30|repr=final_token|layer=0,delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.9284,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.8729904300082102,0.9723028389214158,1000.0
delta_direction_basis_to_changed|var=31|repr=final_token|layer=0,delta_direction_basis_to_changed,31,subordination_and_embedding,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.5,0.5,0.5,0.7468,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6400897958472688,0.8394247662935106,1000.0
delta_direction_basis_to_changed|var=32|repr=final_token|layer=0,delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=33|repr=final_token|layer=5,delta_direction_basis_to_changed,33,discourse_relation_marking,final_token,5,layer_5,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.78,0.78,0.78,0.75,100,0.5,0.16,0.16,0.16,0.0864,100,0.5,False,True,True,validation_auroc_then_validation_balanced_accuracy,0.64,0.8437512580515297,1000.0,0.03904703106740459,0.1424669867947179,1000.0
delta_direction_basis_to_changed|var=34|repr=mean_pooled|layer=12,delta_direction_basis_to_changed,34,topic_comment_structure,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.8,0.8,0.8,0.944,100,0.5,0.98,0.98,0.98,0.9995999999999999,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.898730183105183,0.9765712830586781,1000.0,0.9975990396158464,1.0,1000.0
