candidate_key,probe_family,variable_id,variable,representation,layer_idx,layer_name,hidden_dim,regularization_c,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,suspiciously_high_test_auroc,possible_overfit,weak_signal
sentence_basis_changed|var=1|repr=final_token|layer=0,sentence_basis_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.5376000000000001,100,0.5,0.5,0.5,0.0,0.7804,100,0.5,False,True,False
delta_direction_basis_to_changed|var=1|repr=final_token|layer=0,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False
sentence_basis_changed|var=1|repr=final_token|layer=1,sentence_basis_changed,1,Subject expression / pro-drop,final_token,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.7664,100,0.5,0.5,0.5,0.0,0.86,100,0.5,False,True,False
delta_direction_basis_to_changed|var=1|repr=final_token|layer=1,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False
sentence_basis_changed|var=1|repr=final_token|layer=2,sentence_basis_changed,1,Subject expression / pro-drop,final_token,2,layer_2,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.8532000000000001,100,0.5,0.5,0.5,0.0,0.904,100,0.5,False,False,False
delta_direction_basis_to_changed|var=1|repr=final_token|layer=2,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,2,layer_2,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False
sentence_basis_changed|var=1|repr=final_token|layer=3,sentence_basis_changed,1,Subject expression / pro-drop,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.866,100,0.5,0.51,0.51,0.0392156862745098,0.8892,100,0.5,False,False,False
delta_direction_basis_to_changed|var=1|repr=final_token|layer=3,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False
sentence_basis_changed|var=1|repr=final_token|layer=4,sentence_basis_changed,1,Subject expression / pro-drop,final_token,4,layer_4,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.8552,100,0.5,0.51,0.51,0.0392156862745098,0.9488,100,0.5,False,False,False
delta_direction_basis_to_changed|var=1|repr=final_token|layer=4,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,4,layer_4,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False
sentence_basis_changed|var=1|repr=final_token|layer=5,sentence_basis_changed,1,Subject expression / pro-drop,final_token,5,layer_5,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.9148,100,0.5,0.5,0.5,0.0,0.9119999999999999,100,0.5,False,False,False
