variable_id,variable,sentence_activation_test_auroc,sentence_activation_test_auroc_ci_lower,sentence_activation_test_auroc_ci_upper,sentence_activation_val_auroc,sentence_activation_val_auroc_ci_lower,sentence_activation_val_auroc_ci_upper,sentence_best_text_test_auroc,sentence_best_text_test_auroc_ci_lower,sentence_best_text_test_auroc_ci_upper,sentence_best_text_model_kind,sentence_activation_minus_text,sentence_activation_minus_null,sentence_best_layer_idx,sentence_best_representation,sentence_possible_overfit,delta_direction_activation_test_auroc,delta_direction_activation_test_auroc_ci_lower,delta_direction_activation_test_auroc_ci_upper,delta_direction_activation_val_auroc,delta_direction_activation_val_auroc_ci_lower,delta_direction_activation_val_auroc_ci_upper,delta_direction_best_text_test_auroc,delta_direction_best_text_test_auroc_ci_lower,delta_direction_best_text_test_auroc_ci_upper,delta_direction_best_text_model_kind,delta_direction_activation_minus_text,delta_direction_best_layer_idx,delta_direction_best_representation,delta_direction_possible_overfit,train_marker_family_count,val_marker_family_count,test_marker_family_count,train_lexical_domain_count,val_lexical_domain_count,test_lexical_domain_count,test_has_heldout_marker_family,test_has_heldout_lexical_domain,test_marker_families_all_heldout_from_train,test_lexical_domains_all_heldout_from_train,test_marker_train_overlap_count,test_lexical_train_overlap_count,val_marker_train_overlap_count,val_lexical_train_overlap_count,split_control_strength,train_marker_families,test_marker_families,train_lexical_domains,test_lexical_domains,sentence_layer_stability_layer_stability_threshold,sentence_layer_stability_best_layer_idx,sentence_layer_stability_best_layer_name,sentence_layer_stability_best_representation,sentence_layer_stability_best_val_auroc,sentence_layer_stability_best_test_auroc,sentence_layer_stability_layers_above_threshold_count,sentence_layer_stability_max_adjacent_layers_above_threshold,sentence_layer_stability_signal_beyond_layer_2,sentence_layer_stability_layers_above_threshold,delta_direction_layer_stability_layer_stability_threshold,delta_direction_layer_stability_best_layer_idx,delta_direction_layer_stability_best_layer_name,delta_direction_layer_stability_best_representation,delta_direction_layer_stability_best_val_auroc,delta_direction_layer_stability_best_test_auroc,delta_direction_layer_stability_layers_above_threshold_count,delta_direction_layer_stability_max_adjacent_layers_above_threshold,delta_direction_layer_stability_signal_beyond_layer_2,delta_direction_layer_stability_layers_above_threshold,level_1_activation_recoverability_pass,level_1_threshold,level_2_text_evidence_category,level_2_text_artifact_status,level_2_activation_beats_text_pass,level_2_text_control_nonblocking,level_2_surface_visible_nonblocking,level_3_directional_consistency_pass,level_3_threshold,level_4_split_generalization_pass,level_4_has_test_marker_or_domain_holdout,level_4_strong_marker_and_domain_holdout,learned_activation_direction_viability_pass,learned_activation_direction_viability_status,early_layer_artifact_risk,null_label_control_pass,possible_overfit_flag,evidence_status,ready_for_learned_activation_direction_viability,mechanistic_claim_allowed,claim_scope,recommended_next_action
1,Subject expression / pro-drop,0.9503999999999999,0.9079609400578412,0.9832008044763799,0.9683999999999999,0.9326923076923077,0.992797118847539,0.8332,0.747703099989996,0.9097057801662586,length_punct,0.11719999999999986,0.3767999999999999,12,mean_pooled,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5,0.39202724358974367,0.6145898984593838,word_tfidf,0.5,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""agreement_recoverable_zero_subject"", ""overt_lexical_np_subject"", ""overt_pronoun_subject""]","[""contrastive_context_zero_subject"", ""coordinated_clause_zero_subject""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,12,layer_12,mean_pooled,0.9683999999999999,0.9503999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
2,basic_constituent_order,0.5928,0.47824939644481196,0.7060035527900441,0.9216000000000001,0.8619128286417689,0.9681905982252141,0.6178,0.5063376492423894,0.7358276022541819,char_tfidf,-0.025000000000000022,0.0464,8,mean_pooled,False,0.6220000000000001,0.4985844319614811,0.730023133116883,0.9740000000000001,0.9457997751906864,0.992006574264321,0.5002000000000001,0.4242932224025975,0.5747534091479325,word_tfidf,0.12180000000000002,12,mean_pooled,False,2,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""canonical_sov_particle_marked_order"", ""english_argument_order_control""]","[""adjunct_intervened_order_shift"", ""object_fronting_role_preserved""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,8,layer_8,mean_pooled,0.9216000000000001,0.5928,0,0,False,[],0.7,12,layer_12,mean_pooled,0.9740000000000001,0.6220000000000001,3,3,True,"[21, 22, 23]",False,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,False,0.65,False,True,True,False,not_run,False,False,False,level1_failed_low_activation_recoverability,False,False,activation-recoverable structural cue; surface-visible text cue also present,Do not pursue this variable under the current model/dataset until activation recoverability improves.
3,nominal_modifier_order,0.5312,0.41744115259740266,0.6370432449494949,0.8944,0.8268327875325158,0.9499035280339628,0.5142,0.39365749979145714,0.628467189766312,length_punct,0.017000000000000015,-0.06799999999999995,9,mean_pooled,False,0.5324,0.41904060990338166,0.6510613009155708,1.0,0.9999999999999999,1.0,0.5,0.5,0.5,word_tfidf,0.032399999999999984,10,mean_pooled,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""adjective_noun_order"", ""noun_adjective_order"", ""prenominal_possessive""]","[""relative_clause_modifier_order"", ""stacked_modifier_reordering""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,9,layer_9,mean_pooled,0.8944,0.5312,0,0,False,[],0.7,10,layer_10,mean_pooled,1.0,0.5324,10,3,True,"[3, 4, 5, 10, 11, 12, 17, 21, 22, 23]",False,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,False,0.65,False,True,True,False,not_run,False,False,False,level1_failed_low_activation_recoverability,False,False,activation-recoverable structural cue; surface-visible text cue also present,Do not pursue this variable under the current model/dataset until activation recoverability improves.
4,case_marking,0.9916,0.9767888528353936,1.0,0.992,0.9788934892138674,0.9991996798719488,0.982,0.9614121510673235,0.9959745179263706,char_tfidf,0.009600000000000053,0.48040000000000005,18,mean_pooled,False,0.966,0.9301792307832223,0.9950770443349753,1.0,0.9999999999999999,1.0,0.6301999999999999,0.5175644110301126,0.7346694669640803,word_tfidf,0.3358000000000001,8,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""canonical_case_order"", ""nominative_accusative_case"", ""nominative_dative_case""]","[""oblique_argument_case_marking"", ""role_reversal_case_change""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,18,layer_18,mean_pooled,0.992,0.9916,21,20,True,"[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,8,layer_8,mean_pooled,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
5,morphosyntactic_alignment,0.8208000000000001,0.7280542194323809,0.8965755709807434,0.8516,0.7731132344934747,0.9194882006161342,0.8757999999999999,0.795883655394525,0.9379836025319218,word_tfidf,-0.05499999999999983,0.3056000000000001,8,mean_pooled,False,0.9684,0.9397786391007626,0.9899367974266071,0.9808,0.9583333333333333,0.996695011779398,0.844,0.7700030438311689,0.9090936363636365,word_tfidf,0.12440000000000007,3,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""accusative_object_case"", ""intransitive_subject_frame"", ""nominative_subject_case""]","[""patient_like_subject_control"", ""role_swap_case_alignment""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,8,layer_8,mean_pooled,0.8516,0.8208000000000001,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,3,layer_3,final_token,0.9808,0.9684,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,C_text_stronger_than_activation,C_text_stronger_than_activation,False,True,True,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
6,transitivity_valency,0.9644,0.9283313204508857,0.9931329622758194,0.864,0.7833680416258533,0.9326968584251326,0.9964,0.9894889004822387,1.0,length_punct,-0.03199999999999992,0.236,14,final_token,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5,0.5,0.5,word_tfidf,0.5,0,final_token,False,3,2,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""ditransitive_frame"", ""intransitive_frame"", ""transitive_frame""]","[""caused_motion_frame"", ""instrument_frame""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,14,layer_14,final_token,0.864,0.9644,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
7,voice_and_agent_prominence,0.8595999999999999,0.7843978431372549,0.9214773193760263,1.0,0.9999999999999999,1.0,0.6286,0.5156681150721157,0.7411195326615494,word_tfidf,0.23099999999999987,0.25239999999999985,0,final_token,False,0.98,0.9566643668831168,0.9959983993597439,1.0,0.9999999999999999,1.0,0.875,0.8087755132850241,0.929147166112822,word_tfidf,0.10499999999999998,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""active_voice"", ""agentless_passive"", ""by_phrase_passive""]","[""impersonal_voice"", ""middle_like_voice""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,19,layer_19,final_token,1.0,0.988,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,17,layer_17,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
8,causativity_and_valency_change,0.8572,0.7827952173913043,0.9232132796916438,0.9952000000000001,0.984172077922078,1.0,0.7486,0.6532548530775947,0.837351976276797,length_punct,0.10859999999999992,0.22239999999999993,13,final_token,False,0.9600000000000001,0.9206550184729063,0.9855486964611061,1.0,0.9999999999999999,1.0,0.47959999999999997,0.3585438520566351,0.5995825847909344,word_tfidf,0.4804000000000001,0,final_token,False,3,2,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""english_periphrastic_have_cause"", ""english_periphrastic_make_cause"", ""turkish_morphological_causative""]","[""causer_added_morphological"", ""coercive_causative""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,13,layer_13,final_token,0.9952000000000001,0.8572,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,13,layer_13,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
9,analytic_vs_synthetic_encoding,0.9952,0.9867501672688345,1.0,1.0,0.9999999999999999,1.0,0.978,0.9495917370129869,0.9952339409722222,word_tfidf,0.017199999999999993,0.40479999999999994,7,mean_pooled,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5197999999999999,0.40001877127840124,0.6278511404561825,word_tfidf,0.48020000000000007,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""english_function_word_relation"", ""english_prepositional_relation"", ""turkish_bound_case_relation""]","[""analytic_to_synthetic_parallel"", ""turkish_multi_suffix_compression""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,7,layer_7,mean_pooled,1.0,0.9952,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
10,morphological_segmentation_type,0.9556,0.9099467205589583,0.9890968054933571,0.9812,0.9599807807506785,0.9971900243118818,0.8608,0.7774975449116844,0.9363930917874397,word_tfidf,0.0948,0.36160000000000003,1,mean_pooled,False,0.9772000000000001,0.9507211538461539,0.9944069777669522,1.0,0.9999999999999999,1.0,0.5,0.5,0.5,word_tfidf,0.47720000000000007,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""hyphenated_morpheme_chain"", ""suffix_stack_surface"", ""unsegmented_agglutinated_form""]","[""derivational_inflectional_stack"", ""possessive_number_case_stack""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,1,layer_1,mean_pooled,0.9812,0.9556,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,mean_pooled,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,False,not_run,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.
