variable_id,variable,feature_id,inspection_grade,ablation_include,ablation_role,interpretation,inspection_rationale,original_sae_tier,probe_core_status,probe_l12_delta_test_auroc,train_effect,validation_effect,test_effect,train_fwer_significant,validation_same_direction,test_same_direction,full_survival,specificity_rank,specificity_ratio
1,Subject expression / pro-drop,8041,C,True,exploratory_causal,mixed_subject_expression_proxy,"Multilingual subject/pronoun-related activation; not a clean pro-drop latent, but strong held-out association makes exploratory ablation worthwhile.",D,robust_3of3,1.0,0.863140881061554,0.962331771850586,0.9698030352592468,True,True,True,True,3,0.9209517185159736
2,basic_constituent_order,932,C,True,exploratory_causal,clause_order_proxy,"Cross-lingual pronoun/function-word and clause structure feature. Not clean constituent order, but plausibly related to syntactic organization.",C,no_core_pass_0of3,0.6220000000000001,0.6950408816337585,0.7502098083496094,0.4259891211986542,True,True,True,True,1,1.7510863714379312
3,nominal_modifier_order,4426,C,True,exploratory_causal,prenominal_possessive_modifier,Strong Spanish possessive determiner 'su' feature. A narrow nominal-modifier surface feature despite held-out direction instability.,D,no_core_pass_0of3,0.456,-0.5660698413848877,-0.0763282254338264,0.1989365369081497,True,True,False,False,1,1.6708524437274963
4,case_marking,13269,B,True,causal_worth_testing,case_bearing_nominals,"Natural activations contain case-bearing nominal forms, especially Turkish. Target-relevant but partly lexical/language-specific.",A,robust_3of3,0.9996,0.5107520818710327,0.3903347551822662,0.584809422492981,True,True,True,True,1,1.75763736070454
5,morphosyntactic_alignment,7247,D,True,diagnostic_control,shared_punctuation_proxy,Statistically associated but natural activation is dominated by punctuation and shared structure. Useful diagnostic rather than interpretable alignment.,B1,robust_3of3,0.9108,-0.6954706907272339,-0.6925016641616821,-0.6649801731109619,True,True,True,True,10,0.7713202343563562
6,transitivity_valency,164,C,True,exploratory_causal,argument_structure_morphology_proxy,"Morphosyntactic material plausibly related to argument structure, but shared across variables and not a clean transitivity latent.",B2,robust_3of3,1.0,0.9193711876869202,0.8745303153991699,0.9081817865371704,True,True,True,True,2,0.9942569045130444
7,voice_and_agent_prominence,8235,A,True,primary_causal,voice_passive_participle_structure,Natural activations repeatedly contain passive/participial morphology across languages and agree with strong probe and SAE evidence.,B2,robust_3of3,1.0,0.8548974990844727,0.9214052557945251,0.622924268245697,True,True,True,True,1,1.6570877042909269
8,causativity_and_valency_change,8182,D,True,diagnostic_control,causativity_association_uninterpretable,Strong quantitative association but natural examples do not isolate causative or increased-valency structure.,B1,robust_3of3,1.0,0.8939546346664429,0.9339605569839478,0.7827286124229431,True,True,True,True,2,0.9926839704923122
9,analytic_vs_synthetic_encoding,144,C,True,exploratory_causal,analytic_synthetic_morphology_proxy,"Hindi case/postpositional morphology provides a narrow grammatical proxy for analytic-versus-synthetic encoding, but not a language-general representation.",B2,robust_3of3,1.0,-0.5066977739334106,-0.7284011840820312,-0.5703283548355103,True,True,True,True,1,1.52828136845627
10,morphological_segmentation_type,15843,B,True,causal_worth_testing,turkish_suffixal_morphology,"Clear Turkish suffix/person/possessive morphology. Narrower than abstract segmentation type, but strongly relevant to morphological segmentation.",A,robust_3of3,0.9832,0.7314246892929077,0.3352487087249756,0.703966498374939,True,True,True,True,1,2.1615142843781054
