candidate_key,probe_family,variable_id,variable,representation,layer_idx,layer_name,hidden_dim,regularization_c,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,suspiciously_high_test_auroc,possible_overfit,weak_signal,selected_by,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
delta_direction_basis_to_changed|var=1|repr=final_token|layer=0,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=2|repr=mean_pooled|layer=12,delta_direction_basis_to_changed,2,basic_constituent_order,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9740000000000001,100,0.5,0.5,0.5,0.5,0.6220000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9457997751906864,0.992006574264321,1000.0,0.4985844319614811,0.730023133116883,1000.0
delta_direction_basis_to_changed|var=3|repr=mean_pooled|layer=10,delta_direction_basis_to_changed,3,nominal_modifier_order,mean_pooled,10,layer_10,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.54,0.54,0.54,0.5324,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.41904060990338166,0.6510613009155708,1000.0
delta_direction_basis_to_changed|var=4|repr=final_token|layer=8,delta_direction_basis_to_changed,4,case_marking,final_token,8,layer_8,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.966,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9301792307832223,0.9950770443349753,1000.0
delta_direction_basis_to_changed|var=5|repr=final_token|layer=3,delta_direction_basis_to_changed,5,morphosyntactic_alignment,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.92,0.92,0.92,0.9808,100,0.5,0.86,0.86,0.86,0.9684,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9583333333333333,0.996695011779398,1000.0,0.9397786391007626,0.9899367974266071,1000.0
delta_direction_basis_to_changed|var=6|repr=final_token|layer=0,delta_direction_basis_to_changed,6,transitivity_valency,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=7|repr=final_token|layer=0,delta_direction_basis_to_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.92,0.92,0.92,0.98,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9566643668831168,0.9959983993597439,1000.0
delta_direction_basis_to_changed|var=8|repr=final_token|layer=0,delta_direction_basis_to_changed,8,causativity_and_valency_change,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.8,0.8,0.8,0.9600000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9206550184729063,0.9855486964611061,1000.0
delta_direction_basis_to_changed|var=9|repr=final_token|layer=0,delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=10|repr=final_token|layer=0,delta_direction_basis_to_changed,10,morphological_segmentation_type,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.9772000000000001,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9507211538461539,0.9944069777669522,1000.0
