probe_family,variable_id,variable,activation_representation,activation_layer_idx,activation_layer_name,activation_val_auroc,activation_test_auroc,activation_test_accuracy,best_text_model_kind,best_text_val_auroc,best_text_test_auroc,activation_minus_text_test_auroc,best_null_val_auroc,best_null_test_auroc,activation_minus_null_test_auroc,suspiciously_high_test_auroc,possible_overfit,weak_signal
delta_true_vs_mismatched,1,Subject expression / pro-drop,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9995999999999999,0.999,-0.499,,,,False,False,True
delta_true_vs_mismatched,2,basic_constituent_order,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.967,0.965,-0.46499999999999997,,,,False,False,True
delta_true_vs_mismatched,3,nominal_modifier_order,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9907999999999999,0.99,-0.49,,,,False,False,True
delta_true_vs_mismatched,4,case_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,1.0,-0.5,,,,False,False,True
delta_true_vs_mismatched,5,morphosyntactic_alignment,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9794,0.9853999999999999,-0.48539999999999994,,,,False,False,True
delta_true_vs_mismatched,6,transitivity_valency,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9896,0.9846,-0.48460000000000003,,,,False,False,True
delta_true_vs_mismatched,7,voice_and_agent_prominence,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.984,0.9936,-0.49360000000000004,,,,False,False,True
delta_true_vs_mismatched,8,causativity_and_valency_change,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9610000000000001,0.9488000000000001,-0.4488000000000001,,,,False,False,True
delta_true_vs_mismatched,9,analytic_vs_synthetic_encoding,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,0.9998,-0.4998,,,,False,False,True
delta_true_vs_mismatched,10,morphological_segmentation_type,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,0.9982,-0.4982,,,,False,False,True
delta_true_vs_mismatched,11,agreement_indexing_density,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9952,1.0,-0.5,,,,False,False,True
delta_true_vs_mismatched,12,optionality_vs_obligatoriness_of_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.7782,0.7533000000000001,-0.2533000000000001,,,,False,False,True
delta_true_vs_mismatched,13,redundancy_cumulative_exponence,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9988,0.9764,-0.47640000000000005,,,,False,False,True
delta_true_vs_mismatched,14,definiteness_and_specificity,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9978000000000001,0.9998,-0.4998,,,,False,False,True
delta_true_vs_mismatched,15,number_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.997,0.9974000000000001,-0.49740000000000006,,,,False,False,True
delta_true_vs_mismatched,16,gender_noun_class,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,0.9994,-0.49939999999999996,,,,False,False,True
delta_true_vs_mismatched,17,animacy_and_humanness,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9984,1.0,-0.5,,,,False,False,True
delta_true_vs_mismatched,18,person_marking_and_person_hierarchy,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,0.9998,-0.4998,,,,False,False,True
delta_true_vs_mismatched,19,inclusive_exclusive_distinction,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.8014,0.8516,-0.3516,,,,False,False,True
delta_true_vs_mismatched,20,pronoun_richness_and_reduction,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.942,0.9728000000000001,-0.4728000000000001,,,,False,False,True
delta_true_vs_mismatched,21,possession_and_alienability,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9546,0.9046000000000001,-0.40460000000000007,,,,False,False,True
delta_true_vs_mismatched,22,tense_prominence,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.962,0.9636,-0.4636,,,,False,False,True
delta_true_vs_mismatched,23,aspect_and_event_structure,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9896,0.9945999999999999,-0.49459999999999993,,,,False,False,True
delta_true_vs_mismatched,24,modality_and_mood,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,1.0,-0.5,,,,False,False,True
delta_true_vs_mismatched,25,epistemic_modality,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9992,0.9994,-0.49939999999999996,,,,False,False,True
delta_true_vs_mismatched,26,evidentiality,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.8794000000000001,0.893,-0.393,,,,False,False,True
delta_true_vs_mismatched,27,mirativity_stance_and_affect_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9241999999999999,0.9296,-0.4296,,,,False,False,True
delta_true_vs_mismatched,28,negation_and_polarity_structure,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9806,0.9763999999999999,-0.47639999999999993,,,,False,False,True
delta_true_vs_mismatched,29,quantifier_scope_and_distributivity,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9766,0.9446,-0.4446,,,,False,False,True
delta_true_vs_mismatched,30,conditional_and_counterfactual_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9724999999999999,0.9979,-0.4979,,,,False,False,True
delta_true_vs_mismatched,31,subordination_and_embedding,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.989,0.9858,-0.4858,,,,False,False,True
delta_true_vs_mismatched,32,quotation_and_reported_speech_structure,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9737999999999999,0.9942,-0.4942,,,,False,False,True
delta_true_vs_mismatched,33,discourse_relation_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9996,0.9992,-0.4992,,,,False,False,True
delta_true_vs_mismatched,34,topic_comment_structure,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9431999999999999,0.9851999999999999,-0.48519999999999985,,,,False,False,True
delta_true_vs_mismatched,35,focus_and_given_new_marking,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9842,0.995,-0.495,,,,False,False,True
delta_true_vs_mismatched,36,genericity_and_kind_level_reference,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9976,0.9917999999999999,-0.4917999999999999,,,,False,False,True
delta_true_vs_mismatched,37,social_deixis_honorifics_status_encoding,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9514,0.9049999999999999,-0.4049999999999999,,,,False,False,True
delta_true_vs_mismatched,38,speech_act_force_and_request_directness,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9952,0.9803999999999999,-0.48039999999999994,,,,False,False,True
delta_true_vs_mismatched,39,deixis_and_perspective_anchoring,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,1.0,0.9996,-0.49960000000000004,,,,False,False,True
delta_true_vs_mismatched,40,orthographic_and_tokenization_interface,final_token,0,layer_0,0.5,0.5,0.6666666666666666,char_tfidf,0.9874,0.9912,-0.49119999999999997,,,,False,False,True
sentence_basis_changed,1,Subject expression / pro-drop,mean_pooled,2,layer_2,1.0,0.99,0.94,word_tfidf,0.9984,0.9992,-0.009199999999999986,0.5928,0.5548000000000001,0.4351999999999999,True,False,False
sentence_basis_changed,2,basic_constituent_order,mean_pooled,4,layer_4,0.9975999999999999,0.9624,0.95,char_tfidf,0.9952,0.9975999999999999,-0.0351999999999999,0.5836,0.5287999999999999,0.4336000000000001,False,False,False
sentence_basis_changed,3,nominal_modifier_order,mean_pooled,3,layer_3,0.8932,0.8812,0.85,word_tfidf,0.9792000000000001,0.9796,-0.09840000000000004,0.5836,0.5556,0.3256,False,False,False
sentence_basis_changed,4,case_marking,mean_pooled,0,layer_0,0.9796,0.9955999999999999,0.97,word_tfidf,0.9832000000000001,0.9870000000000001,0.00859999999999983,0.5848,0.5267999999999999,0.4688,True,False,False
sentence_basis_changed,5,morphosyntactic_alignment,mean_pooled,3,layer_3,0.7908000000000001,0.8112,0.73,word_tfidf,0.7954,0.8513999999999999,-0.0401999999999999,0.6088,0.42200000000000004,0.3892,False,True,False
sentence_basis_changed,6,transitivity_valency,mean_pooled,2,layer_2,0.9743999999999999,0.9732000000000001,0.91,length_punct,0.9436,0.9424,0.03080000000000005,0.5995999999999999,0.5788,0.3944000000000001,True,False,False
sentence_basis_changed,7,voice_and_agent_prominence,mean_pooled,5,layer_5,1.0,1.0,1.0,char_tfidf,1.0,0.9948,0.005199999999999982,0.6928,0.566,0.43400000000000005,True,False,False
sentence_basis_changed,8,causativity_and_valency_change,final_token,2,layer_2,0.8792,0.8604,0.78,char_tfidf,0.9692000000000001,0.9136,-0.053199999999999914,0.7024,0.4856,0.3748000000000001,False,False,False
sentence_basis_changed,9,analytic_vs_synthetic_encoding,mean_pooled,0,layer_0,1.0,1.0,1.0,word_tfidf,1.0,1.0,0.0,0.5728,0.5628,0.43720000000000003,True,False,False
sentence_basis_changed,10,morphological_segmentation_type,final_token,0,layer_0,1.0,1.0,0.99,char_tfidf,1.0,1.0,0.0,0.6344000000000001,0.5356000000000001,0.4643999999999999,True,False,False
