probe_family,variable_id,variable,activation_representation,activation_layer_idx,activation_layer_name,activation_val_auroc,activation_val_auroc_ci_lower,activation_val_auroc_ci_upper,activation_test_auroc,activation_test_auroc_ci_lower,activation_test_auroc_ci_upper,activation_test_accuracy,best_text_model_kind,best_text_val_auroc,best_text_val_auroc_ci_lower,best_text_val_auroc_ci_upper,best_text_test_auroc,best_text_test_auroc_ci_lower,best_text_test_auroc_ci_upper,activation_minus_text_test_auroc,best_null_val_auroc,best_null_test_auroc,activation_minus_null_test_auroc,suspiciously_high_test_auroc,possible_overfit,weak_signal
delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5000000000000001,0.38051593710112824,0.6111196633825945,0.5,0.39202724358974367,0.6145898984593838,0.5,,,,True,False,False
delta_direction_basis_to_changed,2,basic_constituent_order,mean_pooled,12,layer_12,0.9740000000000001,0.9457997751906864,0.992006574264321,0.6220000000000001,0.4985844319614811,0.730023133116883,0.5,word_tfidf,0.5,0.5,0.5,0.5002000000000001,0.4242932224025975,0.5747534091479325,0.12180000000000002,,,,False,False,False
delta_direction_basis_to_changed,3,nominal_modifier_order,mean_pooled,10,layer_10,1.0,0.9999999999999999,1.0,0.5324,0.41904060990338166,0.6510613009155708,0.54,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.032399999999999984,,,,False,False,True
delta_direction_basis_to_changed,4,case_marking,final_token,8,layer_8,1.0,0.9999999999999999,1.0,0.966,0.9301792307832223,0.9950770443349753,0.9,word_tfidf,0.7008,0.5927480623973728,0.7949167425436886,0.6301999999999999,0.5175644110301126,0.7346694669640803,0.3358000000000001,,,,False,False,False
delta_direction_basis_to_changed,5,morphosyntactic_alignment,final_token,3,layer_3,0.9808,0.9583333333333333,0.996695011779398,0.9684,0.9397786391007626,0.9899367974266071,0.86,word_tfidf,0.9462,0.9003939393939393,0.9779216195933567,0.844,0.7700030438311689,0.9090936363636365,0.12440000000000007,,,,False,False,False
delta_direction_basis_to_changed,6,transitivity_valency,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,True,False,False
delta_direction_basis_to_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.98,0.9566643668831168,0.9959983993597439,0.92,word_tfidf,0.5,0.3940080048173424,0.6046741885159861,0.875,0.8087755132850241,0.929147166112822,0.10499999999999998,,,,True,False,False
delta_direction_basis_to_changed,8,causativity_and_valency_change,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9600000000000001,0.9206550184729063,0.9855486964611061,0.8,word_tfidf,0.5886,0.47363019483155583,0.6976940776310523,0.47959999999999997,0.3585438520566351,0.5995825847909344,0.4804000000000001,,,,False,False,False
delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5,0.3943487854332646,0.6179616789524415,0.5197999999999999,0.40001877127840124,0.6278511404561825,0.48020000000000007,,,,True,False,False
delta_direction_basis_to_changed,10,morphological_segmentation_type,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9772000000000001,0.9507211538461539,0.9944069777669522,0.9,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.47720000000000007,,,,True,False,False
