probe_family,variable_id,variable,layer_stability_threshold,best_layer_idx,best_layer_name,best_representation,best_val_auroc,best_test_auroc,layers_above_threshold_count,max_adjacent_layers_above_threshold,signal_beyond_layer_2,layers_above_threshold
delta_direction_basis_to_changed,1,Subject expression / pro-drop,0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,2,basic_constituent_order,0.7,12,layer_12,mean_pooled,0.9740000000000001,0.6220000000000001,3,3,True,"[21, 22, 23]"
delta_direction_basis_to_changed,3,nominal_modifier_order,0.7,10,layer_10,mean_pooled,1.0,0.5324,10,3,True,"[3, 4, 5, 10, 11, 12, 17, 21, 22, 23]"
delta_direction_basis_to_changed,4,case_marking,0.7,8,layer_8,mean_pooled,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,5,morphosyntactic_alignment,0.7,3,layer_3,final_token,0.9808,0.9684,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,6,transitivity_valency,0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,7,voice_and_agent_prominence,0.7,17,layer_17,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,8,causativity_and_valency_change,0.7,13,layer_13,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,10,morphological_segmentation_type,0.7,0,layer_0,mean_pooled,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,11,agreement_indexing_density,0.7,23,layer_23,final_token,1.0,0.854,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,0.7,1,layer_1,final_token,1.0,0.8116,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,0.7,9,layer_9,final_token,1.0,0.9688,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,14,definiteness_and_specificity,0.7,19,layer_19,final_token,1.0,0.9904,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,15,number_marking,0.7,19,layer_19,final_token,0.7864,0.4376,0,0,False,[]
delta_direction_basis_to_changed,16,gender_noun_class,0.7,9,layer_9,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,17,animacy_and_humanness,0.7,12,layer_12,mean_pooled,1.0,0.9948,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,0.7,11,layer_11,mean_pooled,0.8996,0.8208,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,0.7,9,layer_9,mean_pooled,0.9908,0.9096000000000001,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,0.7,1,layer_1,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,21,possession_and_alienability,0.7,5,layer_5,final_token,0.9604,0.8735999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,22,tense_prominence,0.7,1,layer_1,final_token,0.8248,0.9252,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,23,aspect_and_event_structure,0.7,18,layer_18,final_token,0.9616,0.38359999999999994,0,0,False,[]
delta_direction_basis_to_changed,24,modality_and_mood,0.7,21,layer_21,final_token,0.9683999999999999,0.7444,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,25,epistemic_modality,0.7,0,layer_0,mean_pooled,1.0,0.7515999999999999,21,16,True,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,26,evidentiality,0.7,6,layer_6,final_token,0.8855999999999999,0.7020000000000001,1,1,True,[6]
delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,28,negation_and_polarity_structure,0.7,2,layer_2,mean_pooled,0.7867999999999999,0.9604,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,0.7,16,layer_16,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,0.7,0,layer_0,final_token,1.0,0.9284,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
