variable_id,variable,pooling,feature_id,field,split,group,n,effect,abs_effect,nonzero_fraction,same_as_train_direction,seen_in_train,eligible
1,Subject expression / pro-drop,mean,8431,marker_family,train,agreement_recoverable_zero_subject,133,0.9398724410215608,0.9398724410215608,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,marker_family,train,overt_lexical_np_subject,133,0.7970095426600027,0.7970095426600027,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,marker_family,train,overt_pronoun_subject,134,0.8722830226076252,0.8722830226076252,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,marker_family,val,discourse_recoverable_zero_subject,50,0.10111185355544505,0.10111185355544505,1.0,True,False,True
1,Subject expression / pro-drop,mean,8431,marker_family,test,contrastive_context_zero_subject,27,-0.3033728846717281,0.3033728846717281,1.0,False,False,True
1,Subject expression / pro-drop,mean,8431,marker_family,test,coordinated_clause_zero_subject,23,-0.19321861668583706,0.19321861668583706,1.0,False,False,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,community_services,71,0.8981055338859605,0.8981055338859605,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,education,63,0.8815612247974307,0.8815612247974307,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,engineering,69,0.9242345624048388,0.9242345624048388,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,healthcare,63,0.872682402867285,0.872682402867285,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,logistics,71,0.8757503059101304,0.8757503059101304,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,workplace_operations,63,0.7510662986303066,0.7510662986303066,1.0,True,True,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,val,agriculture,27,-0.07178246059000597,0.07178246059000597,1.0,False,False,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,val,finance,23,0.2605114250801783,0.2605114250801783,1.0,True,False,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,test,legal,16,-0.6183144608060128,0.6183144608060128,1.0,False,False,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,test,public_administration,17,-0.3264398174350706,0.3264398174350706,1.0,False,False,True
1,Subject expression / pro-drop,mean,8431,lexical_domain,test,scientific_research,17,0.1767974362286757,0.1767974362286757,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,marker_family,train,agreement_recoverable_zero_subject,133,-0.8501343502844816,0.8501343502844816,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,marker_family,train,overt_lexical_np_subject,133,-0.880850254507284,0.880850254507284,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,marker_family,train,overt_pronoun_subject,134,-0.694714639703803,0.694714639703803,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,marker_family,val,discourse_recoverable_zero_subject,50,-0.9286953431898026,0.9286953431898026,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,marker_family,test,contrastive_context_zero_subject,27,-0.9340945819692666,0.9340945819692666,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,marker_family,test,coordinated_clause_zero_subject,23,-0.9783215073592039,0.9783215073592039,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,lexical_domain,train,community_services,71,-0.8076005828780664,0.8076005828780664,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,lexical_domain,train,education,63,-0.758233737954199,0.758233737954199,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,lexical_domain,train,engineering,69,-0.8126397735639592,0.8126397735639592,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,lexical_domain,train,healthcare,63,-0.7466962981038231,0.7466962981038231,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,lexical_domain,train,logistics,71,-0.8377591513605437,0.8377591513605437,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,lexical_domain,train,workplace_operations,63,-0.799026966127092,0.799026966127092,1.0,True,True,True
1,Subject expression / pro-drop,final,4441,lexical_domain,val,agriculture,27,-0.9461063552788165,0.9461063552788165,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,lexical_domain,val,finance,23,-0.9099325170873668,0.9099325170873668,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,lexical_domain,test,legal,16,-0.9571971255829633,0.9571971255829633,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,lexical_domain,test,public_administration,17,-0.9462205833972249,0.9462205833972249,1.0,True,False,True
1,Subject expression / pro-drop,final,4441,lexical_domain,test,scientific_research,17,-0.9539088632275039,0.9539088632275039,1.0,True,False,True
2,basic_constituent_order,mean,9791,marker_family,train,canonical_sov_particle_marked_order,320,0.9206140914368374,0.9206140914368374,0.996875,True,True,True
2,basic_constituent_order,mean,9791,marker_family,train,english_argument_order_control,80,0.04702717593000425,0.04702717593000425,0.8125,True,True,True
2,basic_constituent_order,mean,9791,marker_family,val,japanese_scrambling_particle_preserved,50,0.8065270794964587,0.8065270794964587,0.96,True,False,True
2,basic_constituent_order,mean,9791,marker_family,test,adjunct_intervened_order_shift,25,-0.8563235442217441,0.8563235442217441,0.88,False,False,True
2,basic_constituent_order,mean,9791,marker_family,test,object_fronting_role_preserved,25,0.7904552865893524,0.7904552865893524,0.8,True,False,True
2,basic_constituent_order,mean,9791,lexical_domain,train,community_services,66,0.8699016986828878,0.8699016986828878,0.9545454545454546,True,True,True
2,basic_constituent_order,mean,9791,lexical_domain,train,education,67,0.8611826023197586,0.8611826023197586,0.9701492537313433,True,True,True
2,basic_constituent_order,mean,9791,lexical_domain,train,engineering,67,0.8176005357324336,0.8176005357324336,0.9850746268656716,True,True,True
2,basic_constituent_order,mean,9791,lexical_domain,train,healthcare,67,0.8318543772893884,0.8318543772893884,0.9701492537313433,True,True,True
2,basic_constituent_order,mean,9791,lexical_domain,train,logistics,67,0.8670040396187012,0.8670040396187012,0.9253731343283582,True,True,True
2,basic_constituent_order,mean,9791,lexical_domain,train,workplace_operations,66,0.8010995458873852,0.8010995458873852,0.9545454545454546,True,True,True
2,basic_constituent_order,mean,9791,lexical_domain,val,agriculture,25,0.6086652539264836,0.6086652539264836,0.92,True,False,True
2,basic_constituent_order,mean,9791,lexical_domain,val,finance,25,0.9719575074259142,0.9719575074259142,1.0,True,False,True
2,basic_constituent_order,mean,9791,lexical_domain,test,legal,17,-0.010175433576184388,0.010175433576184388,0.8235294117647058,False,False,True
2,basic_constituent_order,mean,9791,lexical_domain,test,public_administration,16,0.2219348883448256,0.2219348883448256,0.9375,True,False,True
2,basic_constituent_order,mean,9791,lexical_domain,test,scientific_research,17,-0.129601651099766,0.129601651099766,0.7647058823529411,False,False,True
2,basic_constituent_order,final,6235,marker_family,train,canonical_sov_particle_marked_order,320,0.6138413194194174,0.6138413194194174,0.53125,True,True,True
2,basic_constituent_order,final,6235,marker_family,train,english_argument_order_control,80,0.11679873088507288,0.11679873088507288,0.3875,True,True,True
2,basic_constituent_order,final,6235,marker_family,val,japanese_scrambling_particle_preserved,50,0.5081190019261346,0.5081190019261346,0.32,True,False,True
2,basic_constituent_order,final,6235,marker_family,test,adjunct_intervened_order_shift,25,-0.18726966556493133,0.18726966556493133,0.12,False,False,True
2,basic_constituent_order,final,6235,marker_family,test,object_fronting_role_preserved,25,0.23523866786660047,0.23523866786660047,0.4,True,False,True
2,basic_constituent_order,final,6235,lexical_domain,train,community_services,66,0.4531875724112525,0.4531875724112525,0.36363636363636365,True,True,True
2,basic_constituent_order,final,6235,lexical_domain,train,education,67,0.62507447458455,0.62507447458455,0.6567164179104478,True,True,True
2,basic_constituent_order,final,6235,lexical_domain,train,engineering,67,0.787834899205703,0.787834899205703,0.7910447761194029,True,True,True
2,basic_constituent_order,final,6235,lexical_domain,train,healthcare,67,0.5400034608729772,0.5400034608729772,0.3880597014925373,True,True,True
2,basic_constituent_order,final,6235,lexical_domain,train,logistics,67,0.0,0.0,0.0,False,True,True
2,basic_constituent_order,final,6235,lexical_domain,train,workplace_operations,66,0.5558148891683594,0.5558148891683594,0.8181818181818182,True,True,True
2,basic_constituent_order,final,6235,lexical_domain,val,agriculture,25,0.30093191393722424,0.30093191393722424,0.12,True,False,True
2,basic_constituent_order,final,6235,lexical_domain,val,finance,25,0.660039088286003,0.660039088286003,0.52,True,False,True
2,basic_constituent_order,final,6235,lexical_domain,test,legal,17,0.13805760582743193,0.13805760582743193,0.23529411764705882,True,False,True
2,basic_constituent_order,final,6235,lexical_domain,test,public_administration,16,-0.0076841811703256945,0.0076841811703256945,0.25,False,False,True
2,basic_constituent_order,final,6235,lexical_domain,test,scientific_research,17,0.17355334694515284,0.17355334694515284,0.29411764705882354,True,False,True
3,nominal_modifier_order,mean,4426,marker_family,train,adjective_noun_order,134,-0.14453476113658495,0.14453476113658495,0.04477611940298507,True,True,True
3,nominal_modifier_order,mean,4426,marker_family,train,noun_adjective_order,133,0.0,0.0,0.0,False,True,True
3,nominal_modifier_order,mean,4426,marker_family,train,prenominal_possessive,133,-0.9772513341484397,0.9772513341484397,1.0,True,True,True
3,nominal_modifier_order,mean,4426,marker_family,val,postnominal_de_modifier,50,-0.07632822703172092,0.07632822703172092,0.08,True,False,True
3,nominal_modifier_order,mean,4426,marker_family,test,relative_clause_modifier_order,25,0.0,0.0,0.0,False,False,True
3,nominal_modifier_order,mean,4426,marker_family,test,stacked_modifier_reordering,25,0.28133875901624694,0.28133875901624694,0.08,False,False,True
3,nominal_modifier_order,mean,4426,lexical_domain,train,community_services,66,-0.5660281862546895,0.5660281862546895,0.3333333333333333,True,True,True
3,nominal_modifier_order,mean,4426,lexical_domain,train,education,66,-0.5718330753711277,0.5718330753711277,0.3333333333333333,True,True,True
3,nominal_modifier_order,mean,4426,lexical_domain,train,engineering,67,-0.5702241153285496,0.5702241153285496,0.34328358208955223,True,True,True
3,nominal_modifier_order,mean,4426,lexical_domain,train,healthcare,69,-0.5671718287996399,0.5671718287996399,0.37681159420289856,True,True,True
3,nominal_modifier_order,mean,4426,lexical_domain,train,logistics,66,-0.5684155071444843,0.5684155071444843,0.3333333333333333,True,True,True
3,nominal_modifier_order,mean,4426,lexical_domain,train,workplace_operations,66,-0.5611956854677551,0.5611956854677551,0.36363636363636365,True,True,True
3,nominal_modifier_order,mean,4426,lexical_domain,val,agriculture,25,0.0,0.0,0.0,False,False,True
3,nominal_modifier_order,mean,4426,lexical_domain,val,finance,25,-0.10794442059752613,0.10794442059752613,0.16,True,False,True
3,nominal_modifier_order,mean,4426,lexical_domain,test,legal,18,0.3315608871942299,0.3315608871942299,0.1111111111111111,False,False,True
3,nominal_modifier_order,mean,4426,lexical_domain,test,public_administration,16,0.0,0.0,0.0,False,False,True
3,nominal_modifier_order,mean,4426,lexical_domain,test,scientific_research,16,0.0,0.0,0.0,False,False,True
3,nominal_modifier_order,final,8074,marker_family,train,adjective_noun_order,134,0.08371869780290142,0.08371869780290142,0.1791044776119403,True,True,True
3,nominal_modifier_order,final,8074,marker_family,train,noun_adjective_order,133,0.0,0.0,0.0,False,True,True
3,nominal_modifier_order,final,8074,marker_family,train,prenominal_possessive,133,0.37650656392462223,0.37650656392462223,0.41353383458646614,True,True,True
3,nominal_modifier_order,final,8074,marker_family,val,postnominal_de_modifier,50,0.17854945343380002,0.17854945343380002,0.18,True,False,True
3,nominal_modifier_order,final,8074,marker_family,test,relative_clause_modifier_order,25,-0.19999999271540972,0.19999999271540972,0.04,False,False,True
3,nominal_modifier_order,final,8074,marker_family,test,stacked_modifier_reordering,25,0.0,0.0,0.0,False,False,True
3,nominal_modifier_order,final,8074,lexical_domain,train,community_services,66,0.31479841171052897,0.31479841171052897,0.13636363636363635,True,True,True
3,nominal_modifier_order,final,8074,lexical_domain,train,education,66,0.1111067108781198,0.1111067108781198,0.15151515151515152,True,True,True
3,nominal_modifier_order,final,8074,lexical_domain,train,engineering,67,0.209380424920545,0.209380424920545,0.34328358208955223,True,True,True
3,nominal_modifier_order,final,8074,lexical_domain,train,healthcare,69,0.25576532006885944,0.25576532006885944,0.2028985507246377,True,True,True
3,nominal_modifier_order,final,8074,lexical_domain,train,logistics,66,0.22319199164241438,0.22319199164241438,0.16666666666666666,True,True,True
3,nominal_modifier_order,final,8074,lexical_domain,train,workplace_operations,66,0.1859655655130234,0.1859655655130234,0.18181818181818182,True,True,True
3,nominal_modifier_order,final,8074,lexical_domain,val,agriculture,25,-0.2566022740594228,0.2566022740594228,0.2,False,False,True
3,nominal_modifier_order,final,8074,lexical_domain,val,finance,25,0.274393161875444,0.274393161875444,0.16,True,False,True
3,nominal_modifier_order,final,8074,lexical_domain,test,legal,18,0.0,0.0,0.0,False,False,True
3,nominal_modifier_order,final,8074,lexical_domain,test,public_administration,16,-0.25,0.25,0.0625,False,False,True
3,nominal_modifier_order,final,8074,lexical_domain,test,scientific_research,16,0.0,0.0,0.0,False,False,True
4,case_marking,mean,13269,marker_family,train,canonical_case_order,148,0.39615893894264026,0.39615893894264026,0.44594594594594594,True,True,True
4,case_marking,mean,13269,marker_family,train,nominative_accusative_case,126,0.5134518270840968,0.5134518270840968,0.4444444444444444,True,True,True
4,case_marking,mean,13269,marker_family,train,nominative_dative_case,126,0.6313803526883689,0.6313803526883689,0.5952380952380952,True,True,True
4,case_marking,mean,13269,marker_family,val,case_preserving_scramble,50,0.3903347559029868,0.3903347559029868,0.3,True,False,True
4,case_marking,mean,13269,marker_family,test,oblique_argument_case_marking,25,0.7288426459046597,0.7288426459046597,0.88,True,False,True
4,case_marking,mean,13269,marker_family,test,role_reversal_case_change,25,0.3941965153126807,0.3941965153126807,0.4,True,False,True
4,case_marking,mean,13269,lexical_domain,train,community_services,36,0.5780656845253167,0.5780656845253167,0.4722222222222222,True,True,True
4,case_marking,mean,13269,lexical_domain,train,education,73,0.47649667027150094,0.47649667027150094,0.3561643835616438,True,True,True
4,case_marking,mean,13269,lexical_domain,train,engineering,73,0.588611274956477,0.588611274956477,0.5068493150684932,True,True,True
4,case_marking,mean,13269,lexical_domain,train,healthcare,73,0.3100208560551768,0.3100208560551768,0.7123287671232876,True,True,True
4,case_marking,mean,13269,lexical_domain,train,logistics,73,0.5745323548600533,0.5745323548600533,0.4246575342465753,True,True,True
4,case_marking,mean,13269,lexical_domain,train,workplace_operations,72,0.5942239265856996,0.5942239265856996,0.4722222222222222,True,True,True
4,case_marking,mean,13269,lexical_domain,val,agriculture,22,0.13582992445248793,0.13582992445248793,0.22727272727272727,True,False,True
4,case_marking,mean,13269,lexical_domain,val,finance,28,0.5620022466721593,0.5620022466721593,0.35714285714285715,True,False,True
4,case_marking,mean,13269,lexical_domain,test,legal,22,0.5507042230687373,0.5507042230687373,0.8181818181818182,True,False,True
4,case_marking,mean,13269,lexical_domain,test,public_administration,14,0.5849306096000757,0.5849306096000757,0.42857142857142855,True,False,True
4,case_marking,mean,13269,lexical_domain,test,scientific_research,14,0.6370853739129674,0.6370853739129674,0.5714285714285714,True,False,True
4,case_marking,final,4731,marker_family,train,canonical_case_order,148,0.20444151729547105,0.20444151729547105,0.2635135135135135,True,True,True
4,case_marking,final,4731,marker_family,train,nominative_accusative_case,126,0.17344433886855523,0.17344433886855523,0.1984126984126984,True,True,True
4,case_marking,final,4731,marker_family,train,nominative_dative_case,126,0.13384390099482354,0.13384390099482354,0.11904761904761904,True,True,True
4,case_marking,final,4731,marker_family,val,case_preserving_scramble,50,0.6020776121924394,0.6020776121924394,0.46,True,False,True
4,case_marking,final,4731,marker_family,test,oblique_argument_case_marking,25,-0.18691763436985653,0.18691763436985653,0.44,False,False,True
4,case_marking,final,4731,marker_family,test,role_reversal_case_change,25,0.4259761428148535,0.4259761428148535,0.36,True,False,True
4,case_marking,final,4731,lexical_domain,train,community_services,36,0.03615734499694177,0.03615734499694177,0.1111111111111111,True,True,True
4,case_marking,final,4731,lexical_domain,train,education,73,0.21339568787793078,0.21339568787793078,0.2054794520547945,True,True,True
4,case_marking,final,4731,lexical_domain,train,engineering,73,0.06110936270112741,0.06110936270112741,0.1780821917808219,True,True,True
4,case_marking,final,4731,lexical_domain,train,healthcare,73,0.27871893960370664,0.27871893960370664,0.3972602739726027,True,True,True
4,case_marking,final,4731,lexical_domain,train,logistics,73,0.11704114429089468,0.11704114429089468,0.0136986301369863,True,True,True
4,case_marking,final,4731,lexical_domain,train,workplace_operations,72,0.20845553507184345,0.20845553507184345,0.2361111111111111,True,True,True
4,case_marking,final,4731,lexical_domain,val,agriculture,22,0.5943806408354837,0.5943806408354837,0.45454545454545453,True,False,True
4,case_marking,final,4731,lexical_domain,val,finance,28,0.6080569783881031,0.6080569783881031,0.4642857142857143,True,False,True
4,case_marking,final,4731,lexical_domain,test,legal,22,-0.13700578428666682,0.13700578428666682,0.36363636363636365,False,False,True
4,case_marking,final,4731,lexical_domain,test,public_administration,14,-0.2672612615056739,0.2672612615056739,0.07142857142857142,False,False,True
4,case_marking,final,4731,lexical_domain,test,scientific_research,14,0.577916124231232,0.577916124231232,0.7857142857142857,True,False,True
5,morphosyntactic_alignment,mean,7247,marker_family,train,accusative_object_case,200,-0.6402716795928322,0.6402716795928322,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,marker_family,train,intransitive_subject_frame,80,-0.9005695193417571,0.9005695193417571,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,marker_family,train,nominative_subject_case,120,-0.7793236753054059,0.7793236753054059,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,marker_family,val,transitive_agent_patient_alignment,50,-0.692501634653507,0.692501634653507,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,marker_family,test,patient_like_subject_control,20,-0.8936954022935952,0.8936954022935952,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,marker_family,test,role_swap_case_alignment,30,-0.5374117130402848,0.5374117130402848,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,community_services,66,-0.6978686697912364,0.6978686697912364,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,education,67,-0.7377560178918251,0.7377560178918251,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,engineering,67,-0.651238996633954,0.651238996633954,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,healthcare,67,-0.720864494966505,0.720864494966505,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,logistics,67,-0.6767529994967046,0.6767529994967046,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,workplace_operations,66,-0.7096586821442574,0.7096586821442574,1.0,True,True,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,val,agriculture,25,-0.674293344878944,0.674293344878944,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,val,finance,25,-0.7117699807299716,0.7117699807299716,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,test,legal,17,-0.6034132680085736,0.6034132680085736,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,test,public_administration,17,-0.6530104607310491,0.6530104607310491,1.0,True,False,True
5,morphosyntactic_alignment,mean,7247,lexical_domain,test,scientific_research,16,-0.7462519649979555,0.7462519649979555,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,marker_family,train,accusative_object_case,200,0.5673495526821578,0.5673495526821578,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,marker_family,train,intransitive_subject_frame,80,0.8309241728029884,0.8309241728029884,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,marker_family,train,nominative_subject_case,120,0.7231717609959469,0.7231717609959469,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,marker_family,val,transitive_agent_patient_alignment,50,0.7016226656506134,0.7016226656506134,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,marker_family,test,patient_like_subject_control,20,0.756546552181537,0.756546552181537,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,marker_family,test,role_swap_case_alignment,30,0.3435744783158524,0.3435744783158524,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,lexical_domain,train,community_services,66,0.7115461170290666,0.7115461170290666,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,lexical_domain,train,education,67,0.6679339400620447,0.6679339400620447,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,lexical_domain,train,engineering,67,0.6415724411414566,0.6415724411414566,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,lexical_domain,train,healthcare,67,0.6240754755666246,0.6240754755666246,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,lexical_domain,train,logistics,67,0.6430073638080572,0.6430073638080572,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,lexical_domain,train,workplace_operations,66,0.6810536255052295,0.6810536255052295,1.0,True,True,True
5,morphosyntactic_alignment,final,5159,lexical_domain,val,agriculture,25,0.7062769720032109,0.7062769720032109,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,lexical_domain,val,finance,25,0.6977235312220704,0.6977235312220704,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,lexical_domain,test,legal,17,0.46819011036490055,0.46819011036490055,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,lexical_domain,test,public_administration,17,0.6348684708430282,0.6348684708430282,1.0,True,False,True
5,morphosyntactic_alignment,final,5159,lexical_domain,test,scientific_research,16,0.5380815557714776,0.5380815557714776,1.0,True,False,True
6,transitivity_valency,mean,5382,marker_family,train,ditransitive_frame,133,0.9361324617931659,0.9361324617931659,1.0,True,True,True
6,transitivity_valency,mean,5382,marker_family,train,intransitive_frame,134,0.952401974345604,0.952401974345604,1.0,True,True,True
6,transitivity_valency,mean,5382,marker_family,train,transitive_frame,133,0.9553562841228389,0.9553562841228389,1.0,True,True,True
6,transitivity_valency,mean,5382,marker_family,val,beneficiary_frame,25,0.9682159615124388,0.9682159615124388,1.0,True,False,True
6,transitivity_valency,mean,5382,marker_family,val,experiencer_frame,25,0.7394154277106151,0.7394154277106151,1.0,True,False,True
6,transitivity_valency,mean,5382,marker_family,test,caused_motion_frame,25,0.9028003788224878,0.9028003788224878,1.0,True,False,True
6,transitivity_valency,mean,5382,marker_family,test,instrument_frame,25,-0.6354864864610167,0.6354864864610167,1.0,False,False,True
6,transitivity_valency,mean,5382,lexical_domain,train,community_services,48,0.9434403800839737,0.9434403800839737,1.0,True,True,True
6,transitivity_valency,mean,5382,lexical_domain,train,education,72,0.9180043570179109,0.9180043570179109,1.0,True,True,True
6,transitivity_valency,mean,5382,lexical_domain,train,engineering,72,0.9474361712157181,0.9474361712157181,1.0,True,True,True
6,transitivity_valency,mean,5382,lexical_domain,train,healthcare,72,0.9450354536061858,0.9450354536061858,1.0,True,True,True
6,transitivity_valency,mean,5382,lexical_domain,train,logistics,72,0.9497668607302808,0.9497668607302808,1.0,True,True,True
6,transitivity_valency,mean,5382,lexical_domain,train,workplace_operations,64,0.9515217017865323,0.9515217017865323,1.0,True,True,True
6,transitivity_valency,mean,5382,lexical_domain,val,agriculture,18,0.8433222317623006,0.8433222317623006,1.0,True,False,True
6,transitivity_valency,mean,5382,lexical_domain,val,finance,32,0.8059064469727583,0.8059064469727583,1.0,True,False,True
6,transitivity_valency,mean,5382,lexical_domain,test,legal,18,0.06904136048218545,0.06904136048218545,1.0,True,False,True
6,transitivity_valency,mean,5382,lexical_domain,test,public_administration,16,0.29473986289017134,0.29473986289017134,1.0,True,False,True
6,transitivity_valency,mean,5382,lexical_domain,test,scientific_research,16,-0.17458661378937546,0.17458661378937546,1.0,False,False,True
6,transitivity_valency,final,4825,marker_family,train,ditransitive_frame,133,-0.9503450248385782,0.9503450248385782,1.0,True,True,True
6,transitivity_valency,final,4825,marker_family,train,intransitive_frame,134,-0.9134822420814659,0.9134822420814659,1.0,True,True,True
6,transitivity_valency,final,4825,marker_family,train,transitive_frame,133,-0.7393597783950145,0.7393597783950145,1.0,True,True,True
6,transitivity_valency,final,4825,marker_family,val,beneficiary_frame,25,-0.6951337429811053,0.6951337429811053,1.0,True,False,True
6,transitivity_valency,final,4825,marker_family,val,experiencer_frame,25,-0.7530587954788259,0.7530587954788259,1.0,True,False,True
6,transitivity_valency,final,4825,marker_family,test,caused_motion_frame,25,-0.8400288253294426,0.8400288253294426,1.0,True,False,True
6,transitivity_valency,final,4825,marker_family,test,instrument_frame,25,-0.8574307584414275,0.8574307584414275,1.0,True,False,True
6,transitivity_valency,final,4825,lexical_domain,train,community_services,48,-0.9062108707814714,0.9062108707814714,1.0,True,True,True
6,transitivity_valency,final,4825,lexical_domain,train,education,72,-0.7949024145168844,0.7949024145168844,1.0,True,True,True
6,transitivity_valency,final,4825,lexical_domain,train,engineering,72,-0.8718712160217527,0.8718712160217527,1.0,True,True,True
6,transitivity_valency,final,4825,lexical_domain,train,healthcare,72,-0.8205829532423382,0.8205829532423382,1.0,True,True,True
6,transitivity_valency,final,4825,lexical_domain,train,logistics,72,-0.8283957449463832,0.8283957449463832,1.0,True,True,True
6,transitivity_valency,final,4825,lexical_domain,train,workplace_operations,64,-0.8476559758566296,0.8476559758566296,1.0,True,True,True
6,transitivity_valency,final,4825,lexical_domain,val,agriculture,18,-0.3593233338192599,0.3593233338192599,1.0,True,False,True
6,transitivity_valency,final,4825,lexical_domain,val,finance,32,-0.8817548684422036,0.8817548684422036,1.0,True,False,True
6,transitivity_valency,final,4825,lexical_domain,test,legal,18,-0.8016785778027476,0.8016785778027476,1.0,True,False,True
6,transitivity_valency,final,4825,lexical_domain,test,public_administration,16,-0.8720718264471885,0.8720718264471885,1.0,True,False,True
6,transitivity_valency,final,4825,lexical_domain,test,scientific_research,16,-0.8672270903610316,0.8672270903610316,1.0,True,False,True
7,voice_and_agent_prominence,mean,8235,marker_family,train,active_voice,60,0.7737230567392294,0.7737230567392294,0.8166666666666667,True,True,True
7,voice_and_agent_prominence,mean,8235,marker_family,train,agentless_passive,170,0.8768336587044391,0.8768336587044391,1.0,True,True,True
7,voice_and_agent_prominence,mean,8235,marker_family,train,by_phrase_passive,170,0.894455485227175,0.894455485227175,1.0,True,True,True
