probe_family,variable_id,variable,activation_representation,activation_layer_idx,activation_layer_name,activation_val_auroc,activation_val_auroc_ci_lower,activation_val_auroc_ci_upper,activation_test_auroc,activation_test_auroc_ci_lower,activation_test_auroc_ci_upper,activation_test_accuracy,best_text_model_kind,best_text_val_auroc,best_text_val_auroc_ci_lower,best_text_val_auroc_ci_upper,best_text_test_auroc,best_text_test_auroc_ci_lower,best_text_test_auroc_ci_upper,activation_minus_text_test_auroc,best_null_val_auroc,best_null_test_auroc,activation_minus_null_test_auroc,suspiciously_high_test_auroc,possible_overfit,weak_signal
delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5000000000000001,0.3957149239678301,0.6137143650563675,0.5,0.37882423566017326,0.6186174106006038,0.5,,,,True,False,False
delta_direction_basis_to_changed,2,basic_constituent_order,mean_pooled,12,layer_12,0.9740000000000001,0.9458572436529081,0.9927971908763505,0.6220000000000001,0.5077146798029557,0.739103095783768,0.5,word_tfidf,0.5,0.5,0.5,0.5002000000000001,0.4163663996810475,0.586924041686949,0.12180000000000002,,,,False,False,False
delta_direction_basis_to_changed,3,nominal_modifier_order,mean_pooled,10,layer_10,1.0,0.9999999999999999,1.0,0.5324,0.4229618650344753,0.6498502526010405,0.54,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.032399999999999984,,,,False,False,True
delta_direction_basis_to_changed,4,case_marking,final_token,8,layer_8,1.0,0.9999999999999999,1.0,0.966,0.9272509090909091,0.9951830431088534,0.9,word_tfidf,0.7008,0.5930534145805887,0.8037446129967137,0.6301999999999999,0.51619643547074,0.7363747970779221,0.3358000000000001,,,,False,False,False
delta_direction_basis_to_changed,5,morphosyntactic_alignment,final_token,3,layer_3,0.9808,0.9577254403703901,0.9968867170692729,0.9684,0.9397680308574653,0.9894949494949495,0.86,word_tfidf,0.9462,0.9033203242570781,0.9785663484143657,0.844,0.7630252525252526,0.9088411333382544,0.12440000000000007,,,,False,False,False
delta_direction_basis_to_changed,6,transitivity_valency,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,True,False,False
delta_direction_basis_to_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.98,0.9563800930208148,0.9955844561831156,0.92,word_tfidf,0.5,0.38353018445435183,0.6110561861108079,0.875,0.8072744948652656,0.9350020837661986,0.10499999999999998,,,,True,False,False
delta_direction_basis_to_changed,8,causativity_and_valency_change,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9600000000000001,0.9211928340936909,0.9871798719487794,0.8,word_tfidf,0.5886,0.4800206521739131,0.6950930784607696,0.47959999999999997,0.3721199777988119,0.5944654296885353,0.4804000000000001,,,,False,False,False
delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5,0.3889316123880303,0.6017820275632775,0.5197999999999999,0.41203900750419076,0.6208798981782059,0.48020000000000007,,,,True,False,False
delta_direction_basis_to_changed,10,morphological_segmentation_type,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9772000000000001,0.9512,0.9947979711884755,0.9,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.47720000000000007,,,,True,False,False
