variable_id,variable,feature_id,train_effect,validation_effect,test_effect,test_same_direction,train_p_maxT,specificity_rank_among_40,specificity_ratio,marker_test_groups,marker_direction_fraction,domain_test_groups,domain_direction_fraction,unseen_marker_groups,unseen_domain_groups,evidence_tier,interpretation
1,Subject expression / pro-drop,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,False,0.0004997501249375312,1,1.1489836902845056,2,0.0,3,0.3333333333333333,2,3,D,heldout_unstable
2,basic_constituent_order,9791,0.8227548599243164,0.8065271973609924,0.03335511311888695,True,0.0004997501249375312,1,1.7534949603427383,2,0.5,3,0.3333333333333333,2,3,C,global_test_generalization_but_construction_sensitive
3,nominal_modifier_order,4426,-0.5660698413848877,-0.07632822543382645,0.19893653690814972,False,0.0004997501249375312,1,1.6708524437274965,2,0.0,3,0.0,2,3,D,heldout_unstable
4,case_marking,13269,0.5107520818710327,0.39033475518226624,0.584809422492981,True,0.0004997501249375312,1,1.7576373607045401,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
5,morphosyntactic_alignment,7247,-0.6954706907272339,-0.6925016641616821,-0.6649801731109619,True,0.0004997501249375312,10,0.7713202343563562,2,1.0,3,1.0,2,3,B1,construction_robust_but_shared
6,transitivity_valency,5382,0.9389743804931641,0.8023737668991089,0.07523857802152634,True,0.0004997501249375312,1,1.2441249215974395,2,0.5,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
7,voice_and_agent_prominence,8235,0.8548974990844727,0.9214052557945251,0.622924268245697,True,0.0004997501249375312,1,1.6570877042909269,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
8,causativity_and_valency_change,8182,0.8939546346664429,0.9339605569839478,0.7827286124229431,True,0.0004997501249375312,2,0.9926839704923122,2,1.0,3,1.0,2,3,B1,construction_robust_but_shared
9,analytic_vs_synthetic_encoding,6579,-0.5021765828132629,-0.5613006949424744,-0.4795279800891876,True,0.0004997501249375312,1,1.5500768587537568,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
10,morphological_segmentation_type,6125,-0.7077662348747253,-0.5309546589851379,-0.45586657524108887,True,0.0004997501249375312,1,5.114620424222409,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
11,agreement_indexing_density,758,0.8260605335235596,0.8179236054420471,0.6730161905288696,True,0.0004997501249375312,1,1.6770809320356674,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
12,optionality_vs_obligatoriness_of_marking,9607,0.4039496183395386,0.5193761587142944,0.5383659601211548,True,0.0004997501249375312,1,1.5264881043214513,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
13,redundancy_cumulative_exponence,9749,-0.6812930107116699,-0.8364554643630981,-0.774949848651886,True,0.0004997501249375312,1,2.8895455769807104,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
14,definiteness_and_specificity,13819,-0.5076863169670105,-0.48264071345329285,-0.5278450846672058,True,0.0004997501249375312,1,1.3591204485359505,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
15,number_marking,8113,0.7615175843238831,0.2035120129585266,-0.04489539936184883,False,0.0004997501249375312,2,0.8609171628654039,2,0.5,3,0.3333333333333333,2,3,D,heldout_unstable
16,gender_noun_class,5205,0.8970929384231567,0.9079066514968872,0.9085553884506226,True,0.0004997501249375312,1,1.5784821980395667,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
17,animacy_and_humanness,3104,0.4994560480117798,0.5734819173812866,0.03527933359146118,True,0.0004997501249375312,2,0.8648513024351094,2,0.5,3,0.3333333333333333,2,3,C,global_test_generalization_but_construction_sensitive
18,person_marking_and_person_hierarchy,13235,0.37755656242370605,0.20801372826099396,0.26984357833862305,True,0.0004997501249375312,1,1.1536329153783713,2,0.5,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
19,inclusive_exclusive_distinction,6062,-0.8535889983177185,-0.4935387074947357,-0.023348644375801086,True,0.0004997501249375312,1,3.526197457348338,2,0.5,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
20,pronoun_richness_and_reduction,7551,-0.8233422636985779,-0.8004065752029419,-0.80997234582901,True,0.0004997501249375312,1,1.5176888756653228,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
21,possession_and_alienability,9576,0.4911506474018097,0.5159186720848083,0.5078165531158447,True,0.0004997501249375312,1,1.2205696096828624,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
22,tense_prominence,1385,-0.39607158303260803,-0.13822416961193085,0.0,False,0.0004997501249375312,2,0.9411945546796855,2,0.0,3,0.0,2,3,D,heldout_unstable
23,aspect_and_event_structure,6216,-0.7045249938964844,-0.259358674287796,0.29094454646110535,False,0.0004997501249375312,1,1.876893253709653,2,0.5,3,0.0,2,3,D,heldout_unstable
24,modality_and_mood,3941,0.4833943247795105,0.20772254467010498,0.1414213478565216,True,0.0004997501249375312,1,2.194255023359247,2,0.5,3,0.3333333333333333,2,3,C,global_test_generalization_but_construction_sensitive
25,epistemic_modality,15221,0.7695838212966919,0.5663724541664124,0.5904353857040405,True,0.0004997501249375312,1,2.197882324242896,2,1.0,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
26,evidentiality,11375,0.8759427070617676,0.02790474146604538,-0.7426843047142029,False,0.0004997501249375312,1,3.847660866349966,2,0.0,3,0.0,2,3,D,heldout_unstable
27,mirativity_stance_and_affect_marking,1887,0.9746910333633423,0.8548627495765686,0.9517486095428467,True,0.0004997501249375312,1,1.3951621428089385,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
28,negation_and_polarity_structure,4382,0.6044781804084778,0.28164535760879517,0.3861485421657562,True,0.0004997501249375312,1,2.149028944139654,3,0.6666666666666666,3,1.0,3,3,B2,generalizing_with_partial_construction_robustness
29,quantifier_scope_and_distributivity,8551,0.7004773616790771,0.47481101751327515,0.3130183815956116,True,0.0004997501249375312,1,1.2730067829077398,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
30,conditional_and_counterfactual_marking,15951,0.7184366583824158,0.17895762622356415,0.30425888299942017,True,0.0004997501249375312,1,1.8750612238707176,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
31,subordination_and_embedding,7643,0.9267303943634033,0.9114087820053101,0.6489808559417725,True,0.0004997501249375312,1,1.973788827737118,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
32,quotation_and_reported_speech_structure,1754,-0.8295131921768188,-0.8591980934143066,-0.9035183191299438,True,0.0004997501249375312,1,2.7008488887245767,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
33,discourse_relation_marking,9728,-0.8808950781822205,-0.11160959303379059,0.8860236406326294,False,0.0004997501249375312,3,0.9462949674398633,2,0.0,3,0.0,2,3,D,heldout_unstable
34,topic_comment_structure,10896,-0.6802915930747986,-0.2903422713279724,-0.6094537973403931,True,0.0004997501249375312,1,1.4702691833116046,2,1.0,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
35,focus_and_given_new_marking,7136,0.6991597414016724,0.4188220798969269,0.10158746689558029,True,0.0004997501249375312,1,1.3446213958875517,2,0.5,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
36,genericity_and_kind_level_reference,5836,0.37232956290245056,0.23299765586853027,0.34488049149513245,True,0.0004997501249375312,2,0.6125380761530906,2,0.5,3,1.0,2,3,B2,generalizing_with_partial_construction_robustness
37,social_deixis_honorifics_status_encoding,2081,0.8197708129882812,0.42160817980766296,0.3720954358577728,True,0.0004997501249375312,1,2.770873284695797,2,0.5,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
38,speech_act_force_and_request_directness,3396,0.4395684003829956,0.05731476843357086,0.40028321743011475,True,0.0004997501249375312,1,1.5016185486613225,2,1.0,3,1.0,2,3,A,selective_and_construction_robust
39,deixis_and_perspective_anchoring,14441,-0.7022145986557007,-0.3162277638912201,-0.26969051361083984,True,0.0004997501249375312,1,2.0270274199657763,2,0.5,3,0.6666666666666666,2,3,B2,generalizing_with_partial_construction_robustness
40,orthographic_and_tokenization_interface,3132,-0.41800636053085327,-0.1414213478565216,0.24604785442352295,False,0.0004997501249375312,3,0.8358437310495543,2,0.5,3,0.0,2,3,D,heldout_unstable
