variable_id,variable,evidence_status,mechanistic_claim_allowed,sentence_activation_test_auroc,sentence_best_text_test_auroc,sentence_activation_minus_text,sentence_best_layer_idx,delta_mismatch_activation_test_auroc,delta_mismatch_best_text_test_auroc,recommended_next_action
1,Subject expression / pro-drop,failed_text_baseline_matches_or_beats_activation,False,0.99,0.999,-0.009,2,0.5,0.999,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
2,basic_constituent_order,failed_text_baseline_matches_or_beats_activation,False,0.962,0.998,-0.035,4,0.5,0.965,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
3,nominal_modifier_order,failed_text_baseline_matches_or_beats_activation,False,0.881,0.98,-0.098,3,0.5,0.99,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
4,case_marking,failed_text_baseline_matches_or_beats_activation,False,0.996,0.987,0.009,0,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
5,morphosyntactic_alignment,failed_text_baseline_matches_or_beats_activation,False,0.811,0.851,-0.04,3,0.5,0.985,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
6,transitivity_valency,unclear_or_weak_after_controls,False,0.973,0.942,0.031,2,0.5,0.985,Treat as inconclusive; improve dataset controls before scaling.
7,voice_and_agent_prominence,failed_text_baseline_matches_or_beats_activation,False,1.0,0.995,0.005,5,0.5,0.994,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
8,causativity_and_valency_change,failed_text_baseline_matches_or_beats_activation,False,0.86,0.914,-0.053,2,0.5,0.949,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
9,analytic_vs_synthetic_encoding,failed_text_baseline_matches_or_beats_activation,False,1.0,1.0,0.0,0,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
10,morphological_segmentation_type,failed_text_baseline_matches_or_beats_activation,False,1.0,1.0,0.0,0,0.5,0.998,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
11,agreement_indexing_density,failed_text_baseline_matches_or_beats_activation,False,0.996,0.984,0.012,3,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
12,optionality_vs_obligatoriness_of_marking,artifact_risk_best_layer_too_early,False,0.84,0.746,0.094,0,0.5,0.753,Inspect token-level artifacts; require later-layer or cross-template evidence before claiming structure.
13,redundancy_cumulative_exponence,failed_text_baseline_matches_or_beats_activation,False,0.98,0.97,0.01,5,0.5,0.976,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
14,definiteness_and_specificity,failed_text_baseline_matches_or_beats_activation,False,0.975,0.989,-0.014,1,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
15,number_marking,failed_text_baseline_matches_or_beats_activation,False,0.962,0.987,-0.025,4,0.5,0.997,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
16,gender_noun_class,failed_text_baseline_matches_or_beats_activation,False,0.99,0.996,-0.006,1,0.5,0.999,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
