variable_id,variable,inspection_grade,ablation_screen_category,split,dose,primary_dose,target_feature,feature_high_side,steering_side,train_target_activation_gap,control_features,target_mean_attenuation,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p
1,Subject expression / pro-drop,C,specific_positive,val,0.5,False,8041,changed,basis,0.007096752524375895,"9728,7247,1302",0.0006136980373412371,-7.85280208219774e-05,0.0006922261067666114,-0.0002441474756633397,0.0016126974892686121,0.1329335332333833
1,Subject expression / pro-drop,C,specific_positive,val,1.0,True,8041,changed,basis,0.007096752524375895,"9728,7247,1302",-3.734439451363869e-05,-8.208315557567403e-05,4.47387684835121e-05,-0.0008388295616023242,0.000990897462441353,0.927536231884058
1,Subject expression / pro-drop,C,specific_positive,val,2.0,False,8041,changed,basis,0.007096752524375895,"9728,7247,1302",-0.0005461493274196982,-0.0009243439417332411,0.00037819458171725276,-0.0008320105487655382,0.0014845415706513448,0.5157421289355323
1,Subject expression / pro-drop,C,specific_positive,test,0.5,False,8041,changed,basis,0.007096752524375895,"9728,7247,1302",0.000492058985400945,0.0009758357773534954,-0.0004837767465505749,-0.0014522322078701108,0.0005232109651260539,0.3288355822088955
1,Subject expression / pro-drop,C,specific_positive,test,1.0,True,8041,changed,basis,0.007096752524375895,"9728,7247,1302",0.0005524319130927324,0.0004857031162828207,6.672881660051644e-05,-0.0010456197728344705,0.0012224955355050024,0.9405297351324338
1,Subject expression / pro-drop,C,specific_positive,test,2.0,False,8041,changed,basis,0.007096752524375895,"9728,7247,1302",-0.0007972603780217469,-0.0007486587855964899,-4.860166576690972e-05,-0.001016609334415989,0.0008816656873968891,0.9155422288855573
2,basic_constituent_order,C,positive_control_advantage,val,0.5,False,932,changed,basis,0.016185056505492,"1887,1302,7136",-0.0001445289672119543,-0.0011256594443693757,0.0009811305021867156,0.00011417111297487283,0.0018656374420679632,0.031984007996002
2,basic_constituent_order,C,positive_control_advantage,val,1.0,True,932,changed,basis,0.016185056505492,"1887,1302,7136",0.0005382733070291579,0.0005758415209129453,-3.756823483854532e-05,-0.0007540568069089205,0.0007419074462377465,0.9425287356321839
2,basic_constituent_order,C,positive_control_advantage,val,2.0,False,932,changed,basis,0.016185056505492,"1887,1302,7136",0.0038813555147498846,0.0006380685372278094,0.0032432868174510077,0.0020502819810499203,0.004362280034576542,0.0009995002498750624
2,basic_constituent_order,C,positive_control_advantage,test,0.5,False,932,changed,basis,0.016185056505492,"1887,1302,7136",0.0012804885627701879,0.0003685187257360667,0.0009119698032736778,-1.155227655544877e-05,0.0018198287555715067,0.053973013493253376
