variable_id,variable,field,split,group,n,seen_in_train
1,Subject expression / pro-drop,marker_family,train,agreement_recoverable_zero_subject,133,True
1,Subject expression / pro-drop,marker_family,train,overt_lexical_np_subject,133,True
1,Subject expression / pro-drop,marker_family,train,overt_pronoun_subject,134,True
1,Subject expression / pro-drop,marker_family,val,discourse_recoverable_zero_subject,50,False
1,Subject expression / pro-drop,marker_family,test,contrastive_context_zero_subject,27,False
1,Subject expression / pro-drop,marker_family,test,coordinated_clause_zero_subject,23,False
1,Subject expression / pro-drop,lexical_domain,train,community_services,71,True
1,Subject expression / pro-drop,lexical_domain,train,education,63,True
1,Subject expression / pro-drop,lexical_domain,train,engineering,69,True
1,Subject expression / pro-drop,lexical_domain,train,healthcare,63,True
1,Subject expression / pro-drop,lexical_domain,train,logistics,71,True
1,Subject expression / pro-drop,lexical_domain,train,workplace_operations,63,True
1,Subject expression / pro-drop,lexical_domain,val,agriculture,27,False
1,Subject expression / pro-drop,lexical_domain,val,finance,23,False
1,Subject expression / pro-drop,lexical_domain,test,legal,16,False
1,Subject expression / pro-drop,lexical_domain,test,public_administration,17,False
1,Subject expression / pro-drop,lexical_domain,test,scientific_research,17,False
2,basic_constituent_order,marker_family,train,canonical_sov_particle_marked_order,320,True
2,basic_constituent_order,marker_family,train,english_argument_order_control,80,True
2,basic_constituent_order,marker_family,val,japanese_scrambling_particle_preserved,50,False
2,basic_constituent_order,marker_family,test,adjunct_intervened_order_shift,25,False
2,basic_constituent_order,marker_family,test,object_fronting_role_preserved,25,False
2,basic_constituent_order,lexical_domain,train,community_services,66,True
2,basic_constituent_order,lexical_domain,train,education,67,True
2,basic_constituent_order,lexical_domain,train,engineering,67,True
2,basic_constituent_order,lexical_domain,train,healthcare,67,True
2,basic_constituent_order,lexical_domain,train,logistics,67,True
2,basic_constituent_order,lexical_domain,train,workplace_operations,66,True
2,basic_constituent_order,lexical_domain,val,agriculture,25,False
2,basic_constituent_order,lexical_domain,val,finance,25,False
2,basic_constituent_order,lexical_domain,test,legal,17,False
2,basic_constituent_order,lexical_domain,test,public_administration,16,False
2,basic_constituent_order,lexical_domain,test,scientific_research,17,False
3,nominal_modifier_order,marker_family,train,adjective_noun_order,134,True
3,nominal_modifier_order,marker_family,train,noun_adjective_order,133,True
3,nominal_modifier_order,marker_family,train,prenominal_possessive,133,True
3,nominal_modifier_order,marker_family,val,postnominal_de_modifier,50,False
3,nominal_modifier_order,marker_family,test,relative_clause_modifier_order,25,False
3,nominal_modifier_order,marker_family,test,stacked_modifier_reordering,25,False
3,nominal_modifier_order,lexical_domain,train,community_services,66,True
3,nominal_modifier_order,lexical_domain,train,education,66,True
3,nominal_modifier_order,lexical_domain,train,engineering,67,True
3,nominal_modifier_order,lexical_domain,train,healthcare,69,True
3,nominal_modifier_order,lexical_domain,train,logistics,66,True
3,nominal_modifier_order,lexical_domain,train,workplace_operations,66,True
3,nominal_modifier_order,lexical_domain,val,agriculture,25,False
3,nominal_modifier_order,lexical_domain,val,finance,25,False
3,nominal_modifier_order,lexical_domain,test,legal,18,False
3,nominal_modifier_order,lexical_domain,test,public_administration,16,False
3,nominal_modifier_order,lexical_domain,test,scientific_research,16,False
4,case_marking,marker_family,train,canonical_case_order,148,True
4,case_marking,marker_family,train,nominative_accusative_case,126,True
4,case_marking,marker_family,train,nominative_dative_case,126,True
4,case_marking,marker_family,val,case_preserving_scramble,50,False
4,case_marking,marker_family,test,oblique_argument_case_marking,25,False
4,case_marking,marker_family,test,role_reversal_case_change,25,False
4,case_marking,lexical_domain,train,community_services,36,True
4,case_marking,lexical_domain,train,education,73,True
4,case_marking,lexical_domain,train,engineering,73,True
4,case_marking,lexical_domain,train,healthcare,73,True
4,case_marking,lexical_domain,train,logistics,73,True
4,case_marking,lexical_domain,train,workplace_operations,72,True
4,case_marking,lexical_domain,val,agriculture,22,False
4,case_marking,lexical_domain,val,finance,28,False
4,case_marking,lexical_domain,test,legal,22,False
4,case_marking,lexical_domain,test,public_administration,14,False
4,case_marking,lexical_domain,test,scientific_research,14,False
5,morphosyntactic_alignment,marker_family,train,accusative_object_case,200,True
5,morphosyntactic_alignment,marker_family,train,intransitive_subject_frame,80,True
5,morphosyntactic_alignment,marker_family,train,nominative_subject_case,120,True
5,morphosyntactic_alignment,marker_family,val,transitive_agent_patient_alignment,50,False
5,morphosyntactic_alignment,marker_family,test,patient_like_subject_control,20,False
5,morphosyntactic_alignment,marker_family,test,role_swap_case_alignment,30,False
5,morphosyntactic_alignment,lexical_domain,train,community_services,66,True
5,morphosyntactic_alignment,lexical_domain,train,education,67,True
5,morphosyntactic_alignment,lexical_domain,train,engineering,67,True
5,morphosyntactic_alignment,lexical_domain,train,healthcare,67,True
5,morphosyntactic_alignment,lexical_domain,train,logistics,67,True
5,morphosyntactic_alignment,lexical_domain,train,workplace_operations,66,True
5,morphosyntactic_alignment,lexical_domain,val,agriculture,25,False
5,morphosyntactic_alignment,lexical_domain,val,finance,25,False
5,morphosyntactic_alignment,lexical_domain,test,legal,17,False
5,morphosyntactic_alignment,lexical_domain,test,public_administration,17,False
5,morphosyntactic_alignment,lexical_domain,test,scientific_research,16,False
6,transitivity_valency,marker_family,train,ditransitive_frame,133,True
6,transitivity_valency,marker_family,train,intransitive_frame,134,True
6,transitivity_valency,marker_family,train,transitive_frame,133,True
6,transitivity_valency,marker_family,val,beneficiary_frame,25,False
6,transitivity_valency,marker_family,val,experiencer_frame,25,False
6,transitivity_valency,marker_family,test,caused_motion_frame,25,False
6,transitivity_valency,marker_family,test,instrument_frame,25,False
6,transitivity_valency,lexical_domain,train,community_services,48,True
